frequency,r,t
2.500000e+14,-2.339847e-02+1.060655e-01j,9.766015e-01+1.060655e-01j
2.520408e+14,-2.511351e-02+1.096190e-01j,9.748865e-01+1.096190e-01j
2.540816e+14,-2.700692e-02+1.133926e-01j,9.729931e-01+1.133926e-01j
2.561224e+14,-2.911701e-02+1.174045e-01j,9.708830e-01+1.174045e-01j
2.581633e+14,-3.148670e-02+1.216659e-01j,9.685133e-01+1.216659e-01j
2.602041e+14,-3.415923e-02+1.261816e-01j,9.658408e-01+1.261816e-01j
2.622449e+14,-3.717251e-02+1.309534e-01j,9.628275e-01+1.309534e-01j
2.642857e+14,-4.055775e-02+1.359914e-01j,9.594422e-01+1.359914e-01j
2.663265e+14,-4.435018e-02+1.413264e-01j,9.556498e-01+1.413264e-01j
2.683673e+14,-4.861055e-02+1.470108e-01j,9.513895e-01+1.470108e-01j
2.704082e+14,-5.344315e-02+1.531013e-01j,9.465568e-01+1.531013e-01j
2.724490e+14,-5.899798e-02+1.596339e-01j,9.410020e-01+1.596339e-01j
2.744898e+14,-6.545589e-02+1.666030e-01j,9.345441e-01+1.666030e-01j
2.765306e+14,-7.300201e-02+1.739578e-01j,9.269980e-01+1.739578e-01j
2.785714e+14,-8.180449e-02+1.816278e-01j,9.181955e-01+1.816278e-01j
2.806122e+14,-9.203714e-02+1.895694e-01j,9.079629e-01+1.895694e-01j
2.826531e+14,-1.039612e-01+1.977706e-01j,8.960388e-01+1.977706e-01j
2.846939e+14,-1.180011e-01+2.061602e-01j,8.819989e-01+2.061602e-01j
2.867347e+14,-1.347123e-01+2.144607e-01j,8.652877e-01+2.144607e-01j
2.887755e+14,-1.546393e-01+2.221327e-01j,8.453607e-01+2.221327e-01j
2.908163e+14,-1.782605e-01+2.284519e-01j,8.217395e-01+2.284519e-01j
2.928571e+14,-2.060779e-01+2.324448e-01j,7.939221e-01+2.324448e-01j
2.948980e+14,-2.384976e-01+2.326346e-01j,7.615024e-01+2.326346e-01j
2.969388e+14,-2.754615e-01+2.269512e-01j,7.245385e-01+2.269512e-01j
2.989796e+14,-3.160282e-01+2.128310e-01j,6.839718e-01+2.128310e-01j
3.010204e+14,-3.578520e-01+1.875742e-01j,6.421480e-01+1.875742e-01j
3.030612e+14,-3.967863e-01+1.492134e-01j,6.032137e-01+1.492134e-01j
3.051020e+14,-4.271337e-01+9.785158e-02j,5.728663e-01+9.785158e-02j
3.071429e+14,-4.430559e-01+3.686908e-02j,5.569441e-01+3.686908e-02j
3.091837e+14,-4.409304e-01-2.716378e-02j,5.590696e-01-2.716378e-02j
3.112245e+14,-4.212013e-01-8.649750e-02j,5.787987e-01-8.649750e-02j
3.132653e+14,-3.881868e-01-1.350731e-01j,6.118132e-01-1.350731e-01j
3.153061e+14,-3.479600e-01-1.702593e-01j,6.520400e-01-1.702593e-01j
3.173469e+14,-3.060162e-01-1.925853e-01j,6.939838e-01-1.925853e-01j
3.193878e+14,-2.660933e-01-2.043518e-01j,7.339067e-01-2.043518e-01j
3.214286e+14,-2.301451e-01-2.083187e-01j,7.698549e-01-2.083187e-01j
3.234694e+14,-1.988394e-01-2.069568e-01j,8.011606e-01-2.069568e-01j
3.255102e+14,-1.720962e-01-2.021881e-01j,8.279038e-01-2.021881e-01j
3.275510e+14,-1.494790e-01-1.953913e-01j,8.505210e-01-1.953913e-01j
3.295918e+14,-1.304289e-01-1.875056e-01j,8.695711e-01-1.875056e-01j
3.316327e+14,-1.143855e-01-1.791462e-01j,8.856145e-01-1.791462e-01j
3.336735e+14,-1.008419e-01-1.707023e-01j,8.991581e-01-1.707023e-01j
3.357143e+14,-8.936331e-02-1.624097e-01j,9.106367e-01-1.624097e-01j
3.377551e+14,-7.958825e-02-1.544039e-01j,9.204117e-01-1.544039e-01j
3.397959e+14,-7.122184e-02-1.467564e-01j,9.287782e-01-1.467564e-01j
3.418367e+14,-6.402554e-02-1.394992e-01j,9.359745e-01-1.394992e-01j
3.438776e+14,-5.780637e-02-1.326413e-01j,9.421936e-01-1.326413e-01j
3.459184e+14,-5.240709e-02-1.261779e-01j,9.475929e-01-1.261779e-01j
3.479592e+14,-4.769821e-02-1.200965e-01j,9.523018e-01-1.200965e-01j
3.500000e+14,-4.357207e-02-1.143793e-01j,9.564279e-01-1.143793e-01j
