Re_px,Im_px,Re_py,Im_py,Re_pz,Im_pz
3.640059920e-32,1.222339958e-32,9.525787840e-33,1.194734703e-32,0.000000000e+00,0.000000000e+00
3.072191201e-32,1.193586046e-32,5.133259233e-33,1.382556619e-32,0.000000000e+00,0.000000000e+00
3.057092286e-32,1.365167473e-32,1.196972516e-33,1.334612299e-32,0.000000000e+00,0.000000000e+00
2.961522696e-32,1.486141911e-32,-2.144572516e-33,1.138444447e-32,0.000000000e+00,0.000000000e+00
2.857514664e-32,1.576254005e-32,-4.606748308e-33,8.565942008e-33,0.000000000e+00,0.000000000e+00
2.744000297e-32,1.625986981e-32,-6.174235608e-33,5.301743489e-33,0.000000000e+00,0.000000000e+00
2.629972939e-32,1.634743894e-32,-6.887802254e-33,1.934446402e-33,0.000000000e+00,0.000000000e+00
2.523174155e-32,1.604572803e-32,-6.831153158e-33,-1.246799362e-33,0.000000000e+00,0.000000000e+00
2.430589574e-32,1.540421463e-32,-6.119193088e-33,-4.003385293e-33,0.000000000e+00,0.000000000e+00
2.357864663e-32,1.449472268e-32,-4.890675137e-33,-6.152175978e-33,0.000000000e+00,0.000000000e+00
2.309014632e-32,1.340506320e-32,-3.300131523e-33,-7.570920294e-33,0.000000000e+00,0.000000000e+00
2.286250059e-32,1.223180708e-32,-1.508938750e-33,-8.201578013e-33,0.000000000e+00,0.000000000e+00
2.289933264e-32,1.107278601e-32,3.240357284e-34,-8.050214599e-33,0.000000000e+00,0.000000000e+00
2.318656710e-32,1.001978868e-32,2.051513381e-33,-7.182978602e-33,0.000000000e+00,0.000000000e+00
2.369431308e-32,9.151951597e-33,3.545931930e-33,-5.718233836e-33,0.000000000e+00,0.000000000e+00
2.437966384e-32,8.530294166e-33,4.706046219e-33,-3.815334497e-33,0.000000000e+00,-0.000000000e+00
2.519018251e-32,8.193763278e-33,5.461579817e-33,-1.660840431e-33,0.000000000e+00,0.000000000e+00
2.606781089e-32,8.157039356e-33,5.775676767e-33,5.468166365e-34,0.000000000e+00,0.000000000e+00
2.695292457e-32,8.410224229e-33,5.645080206e-33,2.613085858e-33,0.000000000e+00,0.000000000e+00
2.778826269e-32,8.920391661e-33,5.098133925e-33,4.362313752e-33,0.000000000e+00,0.000000000e+00
2.852248436e-32,9.634844779e-33,4.190853349e-33,5.650934461e-33,0.000000000e+00,0.000000000e+00
2.911314268e-32,1.048580116e-32,3.001434691e-33,6.377891620e-33,0.000000000e+00,0.000000000e+00
2.952891784e-32,1.139612498e-32,1.623658645e-33,6.491566800e-33,0.000000000e+00,0.000000000e+00
2.975101000e-32,1.228565388e-32,1.596939977e-34,5.992758492e-33,0.000000000e+00,0.000000000e+00
2.977365384e-32,1.307763073e-32,-1.287183916e-33,4.933555705e-33,0.000000000e+00,0.000000000e+00
2.960377752e-32,1.370475012e-32,-2.619472828e-33,3.412258603e-33,0.000000000e+00,0.000000000e+00
2.925988300e-32,1.411436540e-32,-3.751494799e-33,1.564792327e-33,0.000000000e+00,0.000000000e+00
2.877027081e-32,1.427247168e-32,-4.614279340e-33,-4.466825799e-34,0.000000000e+00,0.000000000e+00
2.817076597e-32,1.416617771e-32,-5.159042982e-33,-2.447057558e-33,0.000000000e+00,0.000000000e+00
2.750212289e-32,1.380449729e-32,-5.359142951e-33,-4.262423132e-33,0.000000000e+00,0.000000000e+00
2.680729399e-32,1.321742038e-32,-5.210495322e-33,-5.733984011e-33,0.000000000e+00,0.000000000e+00
2.612874123e-32,1.245335487e-32,-4.730552071e-33,-6.730678987e-33,0.000000000e+00,0.000000000e+00
2.550595210e-32,1.157515282e-32,-3.956019684e-33,-7.159550347e-33,0.000000000e+00,0.000000000e+00
2.497329528e-32,1.065504057e-32,-2.939569351e-33,-6.973086088e-33,0.000000000e+00,0.000000000e+00
2.455831780e-32,9.768852439e-33,-1.745831903e-33,-6.172993681e-33,0.000000000e+00,0.000000000e+00
2.428054921e-32,8.990017656e-33,-4.469887183e-34,-4.810138419e-33,0.000000000e+00,0.000000000e+00
2.415084083e-32,8.383765235e-33,8.817361155e-34,-2.980671861e-33,0.000000000e+00,0.000000000e+00
2.417123338e-32,8.001991618e-33,2.166404009e-33,-8.186644842e-34,0.000000000e+00,0.000000000e+00
2.433531547e-32,7.879182427e-33,3.338275638e-33,1.514180048e-33,0.000000000e+00,0.000000000e+00
2.462901121e-32,8.029696918e-33,4.337130173e-33,3.840933227e-33,0.000000000e+00,0.000000000e+00
2.503171747e-32,8.446618006e-33,5.113870093e-33,5.983019513e-33,0.000000000e+00,0.000000000e+00
2.551770130e-32,9.102250340e-33,5.632351748e-33,7.773925553e-33,0.000000000e+00,0.000000000e+00
2.605766475e-32,9.950222725e-33,5.870436771e-33,9.071996339e-33,0.000000000e+00,0.000000000e+00
2.662038704e-32,1.092902896e-32,5.820305389e-33,9.771346131e-33,0.000000000e+00,0.000000000e+00
2.717436194e-32,1.196673200e-32,5.488106975e-33,9.810057128e-33,0.000000000e+00,0.000000000e+00
2.768935854e-32,1.298646831e-32,4.893044912e-33,9.175046012e-33,0.000000000e+00,0.000000000e+00
2.813784663e-32,1.391232944e-32,4.066002096e-33,7.903231617e-33,0.000000000e+00,0.000000000e+00
2.849624030e-32,1.467516964e-32,3.047812035e-33,6.078917290e-33,0.000000000e+00,-0.000000000e+00
2.874592568e-32,1.521789518e-32,1.887270985e-33,3.827587703e-33,0.000000000e+00,0.000000000e+00
2.887404894e-32,1.549983096e-32,6.389722229e-34,1.306590654e-33,0.000000000e+00,0.000000000e+00
2.887404894e-32,1.549983096e-32,-6.389722229e-34,-1.306590654e-33,0.000000000e+00,0.000000000e+00
2.874592568e-32,1.521789518e-32,-1.887270985e-33,-3.827587703e-33,0.000000000e+00,0.000000000e+00
2.849624030e-32,1.467516964e-32,-3.047812035e-33,-6.078917290e-33,0.000000000e+00,0.000000000e+00
2.813784663e-32,1.391232944e-32,-4.066002096e-33,-7.903231617e-33,0.000000000e+00,0.000000000e+00
2.768935854e-32,1.298646831e-32,-4.893044912e-33,-9.175046012e-33,0.000000000e+00,0.000000000e+00
2.717436194e-32,1.196673200e-32,-5.488106975e-33,-9.810057128e-33,0.000000000e+00,0.000000000e+00
2.662038704e-32,1.092902896e-32,-5.820305389e-33,-9.771346131e-33,0.000000000e+00,0.000000000e+00
2.605766475e-32,9.950222725e-33,-5.870436771e-33,-9.071996339e-33,0.000000000e+00,0.000000000e+00
2.551770130e-32,9.102250340e-33,-5.632351748e-33,-7.773925553e-33,0.000000000e+00,0.000000000e+00
2.503171747e-32,8.446618006e-33,-5.113870093e-33,-5.983019513e-33,0.000000000e+00,0.000000000e+00
2.462901121e-32,8.029696918e-33,-4.337130173e-33,-3.840933227e-33,0.000000000e+00,0.000000000e+00
2.433531547e-32,7.879182427e-33,-3.338275638e-33,-1.514180048e-33,0.000000000e+00,0.000000000e+00
2.417123338e-32,8.001991618e-33,-2.166404009e-33,8.186644842e-34,0.000000000e+00,0.000000000e+00
2.415084083e-32,8.383765235e-33,-8.817361155e-34,2.980671861e-33,0.000000000e+00,0.000000000e+00
