Re_px,Im_px,Re_py,Im_py,Re_pz,Im_pz
3.277693040e-33,3.540013026e-32,-1.487968929e-32,1.213316711e-32,0.000000000e+00,0.000000000e+00
8.418690933e-33,2.716848189e-32,-1.597790535e-32,1.655962316e-33,0.000000000e+00,0.000000000e+00
1.000499287e-32,2.389677473e-32,-1.164180556e-32,-7.142086041e-33,0.000000000e+00,0.000000000e+00
1.247142754e-32,2.322103569e-32,-4.723290794e-33,-1.061506529e-32,0.000000000e+00,0.000000000e+00
1.429441198e-32,2.415053721e-32,1.363961612e-33,-9.651421580e-33,0.000000000e+00,0.000000000e+00
1.491581472e-32,2.578116161e-32,4.944618321e-33,-6.348238254e-33,0.000000000e+00,0.000000000e+00
1.442463523e-32,2.717831825e-32,6.020649894e-33,-2.647872413e-33,0.000000000e+00,0.000000000e+00
1.339133238e-32,2.781263974e-32,5.388106273e-33,3.849879599e-34,0.000000000e+00,0.000000000e+00
1.245618184e-32,2.768416787e-32,3.833861658e-33,2.454116844e-33,0.000000000e+00,0.000000000e+00
1.199602412e-32,2.714734089e-32,1.844903717e-33,3.567968558e-33,0.000000000e+00,0.000000000e+00
1.203800047e-32,2.661077496e-32,-2.523776732e-34,3.728279026e-33,0.000000000e+00,0.000000000e+00
1.238650032e-32,2.632370278e-32,-2.084919304e-33,2.942891894e-33,0.000000000e+00,0.000000000e+00
1.280933105e-32,2.633671925e-32,-3.223464554e-33,1.395836963e-33,0.000000000e+00,0.000000000e+00
1.314995119e-32,2.658375872e-32,-3.363464059e-33,-4.792509945e-34,0.000000000e+00,0.000000000e+00
1.333507933e-32,2.697643697e-32,-2.507136817e-33,-2.125262248e-33,0.000000000e+00,0.000000000e+00
1.333161668e-32,2.744197450e-32,-9.827886406e-34,-3.092687113e-33,0.000000000e+00,-0.000000000e+00
1.311945979e-32,2.791003509e-32,7.086015756e-34,-3.207358080e-33,0.000000000e+00,0.000000000e+00
1.270298194e-32,2.829493540e-32,2.102683929e-33,-2.581362760e-33,0.000000000e+00,0.000000000e+00
1.213672322e-32,2.850749937e-32,2.910641777e-33,-1.499370055e-33,0.000000000e+00,0.000000000e+00
1.152923591e-32,2.849206095e-32,3.043488488e-33,-2.803930237e-34,0.000000000e+00,0.000000000e+00
1.101232966e-32,2.825824864e-32,2.562848655e-33,8.080790372e-34,0.000000000e+00,0.000000000e+00
1.069317731e-32,2.788223008e-32,1.623774764e-33,1.574261241e-33,0.000000000e+00,0.000000000e+00
1.061807971e-32,2.747666639e-32,4.415090939e-34,1.901240683e-33,0.000000000e+00,0.000000000e+00
1.076489175e-32,2.714916154e-32,-7.302005236e-34,1.753947633e-33,0.000000000e+00,0.000000000e+00
1.106074127e-32,2.697132169e-32,-1.635457656e-33,1.193773530e-33,0.000000000e+00,0.000000000e+00
1.140957791e-32,2.696806221e-32,-2.073388249e-33,3.772014703e-34,0.000000000e+00,0.000000000e+00
1.171593724e-32,2.712282388e-32,-1.954739743e-33,-4.793175716e-34,0.000000000e+00,0.000000000e+00
1.190066469e-32,2.738903359e-32,-1.328176410e-33,-1.161077516e-33,0.000000000e+00,0.000000000e+00
1.191136730e-32,2.770172820e-32,-3.622094190e-34,-1.516560150e-33,0.000000000e+00,0.000000000e+00
1.173052573e-32,2.798909619e-32,7.071819534e-34,-1.492389556e-33,0.000000000e+00,0.000000000e+00
1.138020230e-32,2.818570323e-32,1.639251809e-33,-1.132597268e-33,0.000000000e+00,0.000000000e+00
1.091962476e-32,2.824662897e-32,2.240285941e-33,-5.512064552e-34,0.000000000e+00,0.000000000e+00
1.043350226e-32,2.815832162e-32,2.395497882e-33,1.053472066e-34,0.000000000e+00,0.000000000e+00
1.001325284e-32,2.794145163e-32,2.082288631e-33,6.932858693e-34,0.000000000e+00,0.000000000e+00
9.736783762e-33,2.764406602e-32,1.368801932e-33,1.099050561e-33,0.000000000e+00,0.000000000e+00
9.652729639e-33,2.732756390e-32,3.993490296e-34,1.258624479e-33,0.000000000e+00,0.000000000e+00
9.772545098e-33,2.705057707e-32,-6.332059361e-34,1.167446091e-33,0.000000000e+00,0.000000000e+00
1.007071995e-32,2.685562828e-32,-1.525541652e-33,8.782409419e-34,0.000000000e+00,0.000000000e+00
1.049144811e-32,2.676138864e-32,-2.105267720e-33,4.853621235e-34,0.000000000e+00,0.000000000e+00
1.095964489e-32,2.676115212e-32,-2.265651358e-33,9.856863876e-35,0.000000000e+00,0.000000000e+00
1.139443080e-32,2.682680003e-32,-1.985217122e-33,-1.863337343e-34,0.000000000e+00,0.000000000e+00
1.172322723e-32,2.691695552e-32,-1.328590561e-33,-3.111048842e-34,0.000000000e+00,0.000000000e+00
1.189431786e-32,2.698764215e-32,-4.302768768e-34,-2.664901341e-34,0.000000000e+00,0.000000000e+00
1.188561157e-32,2.700326587e-32,5.334884105e-34,-8.963720398e-35,0.000000000e+00,0.000000000e+00
1.170787030e-32,2.694540006e-32,1.378591150e-33,1.500047631e-34,0.000000000e+00,0.000000000e+00
1.140182516e-32,2.681713947e-32,1.946691853e-33,3.713988612e-34,0.000000000e+00,0.000000000e+00
1.102994691e-32,2.664187269e-32,2.133474440e-33,5.037839030e-34,0.000000000e+00,0.000000000e+00
1.066466066e-32,2.645687740e-32,1.907070052e-33,5.047290321e-34,0.000000000e+00,-0.000000000e+00
1.037526589e-32,2.630355879e-32,1.313467321e-33,3.704241632e-34,0.000000000e+00,0.000000000e+00
1.021580668e-32,2.621693013e-32,4.677140270e-34,1.357853974e-34,0.000000000e+00,0.000000000e+00
1.021580668e-32,2.621693013e-32,-4.677140270e-34,-1.357853974e-34,0.000000000e+00,0.000000000e+00
1.037526589e-32,2.630355879e-32,-1.313467321e-33,-3.704241632e-34,0.000000000e+00,0.000000000e+00
1.066466066e-32,2.645687740e-32,-1.907070052e-33,-5.047290321e-34,0.000000000e+00,0.000000000e+00
1.102994691e-32,2.664187269e-32,-2.133474440e-33,-5.037839030e-34,0.000000000e+00,0.000000000e+00
1.140182516e-32,2.681713947e-32,-1.946691853e-33,-3.713988612e-34,0.000000000e+00,0.000000000e+00
1.170787030e-32,2.694540006e-32,-1.378591150e-33,-1.500047631e-34,0.000000000e+00,0.000000000e+00
1.188561157e-32,2.700326587e-32,-5.334884105e-34,8.963720398e-35,0.000000000e+00,0.000000000e+00
1.189431786e-32,2.698764215e-32,4.302768768e-34,2.664901341e-34,0.000000000e+00,0.000000000e+00
1.172322723e-32,2.691695552e-32,1.328590561e-33,3.111048842e-34,0.000000000e+00,0.000000000e+00
1.139443080e-32,2.682680003e-32,1.985217122e-33,1.863337343e-34,0.000000000e+00,0.000000000e+00
1.095964489e-32,2.676115212e-32,2.265651358e-33,-9.856863876e-35,0.000000000e+00,0.000000000e+00
1.049144811e-32,2.676138864e-32,2.105267720e-33,-4.853621235e-34,0.000000000e+00,0.000000000e+00
1.007071995e-32,2.685562828e-32,1.525541652e-33,-8.782409419e-34,0.000000000e+00,0.000000000e+00
9.772545098e-33,2.705057707e-32,6.332059361e-34,-1.167446091e-33,0.000000000e+00,0.000000000e+00
9.652729639e-33,2.732756390e-32,-3.993490296e-34,-1.258624479e-33,0.000000000e+00,0.000000000e+00
9.736783762e-33,2.764406602e-32,-1.368801932e-33,-1.099050561e-33,0.000000000e+00,0.000000000e+00
1.001325284e-32,2.794145163e-32,-2.082288631e-33,-6.932858693e-34,0.000000000e+00,0.000000000e+00
1.043350226e-32,2.815832162e-32,-2.395497882e-33,-1.053472066e-34,0.000000000e+00,0.000000000e+00
1.091962476e-32,2.824662897e-32,-2.240285941e-33,5.512064552e-34,0.000000000e+00,0.000000000e+00
1.138020230e-32,2.818570323e-32,-1.639251809e-33,1.132597268e-33,0.000000000e+00,0.000000000e+00
1.173052573e-32,2.798909619e-32,-7.071819534e-34,1.492389556e-33,0.000000000e+00,0.000000000e+00
1.191136730e-32,2.770172820e-32,3.622094190e-34,1.516560150e-33,0.000000000e+00,0.000000000e+00
1.190066469e-32,2.738903359e-32,1.328176410e-33,1.161077516e-33,0.000000000e+00,0.000000000e+00
1.171593724e-32,2.712282388e-32,1.954739743e-33,4.793175716e-34,0.000000000e+00,0.000000000e+00
1.140957791e-32,2.696806221e-32,2.073388249e-33,-3.772014703e-34,0.000000000e+00,0.000000000e+00
1.106074127e-32,2.697132169e-32,1.635457656e-33,-1.193773530e-33,0.000000000e+00,0.000000000e+00
1.076489175e-32,2.714916154e-32,7.302005236e-34,-1.753947633e-33,0.000000000e+00,0.000000000e+00
1.061807971e-32,2.747666639e-32,-4.415090939e-34,-1.901240683e-33,0.000000000e+00,0.000000000e+00
1.069317731e-32,2.788223008e-32,-1.623774764e-33,-1.574261241e-33,0.000000000e+00,0.000000000e+00
1.101232966e-32,2.825824864e-32,-2.562848655e-33,-8.080790372e-34,0.000000000e+00,-0.000000000e+00
1.152923591e-32,2.849206095e-32,-3.043488488e-33,2.803930237e-34,0.000000000e+00,0.000000000e+00
1.213672322e-32,2.850749937e-32,-2.910641777e-33,1.499370055e-33,0.000000000e+00,0.000000000e+00
1.270298194e-32,2.829493540e-32,-2.102683929e-33,2.581362760e-33,0.000000000e+00,0.000000000e+00
1.311945979e-32,2.791003509e-32,-7.086015756e-34,3.207358080e-33,0.000000000e+00,0.000000000e+00
1.333161668e-32,2.744197450e-32,9.827886406e-34,3.092687113e-33,0.000000000e+00,0.000000000e+00
1.333507933e-32,2.697643697e-32,2.507136817e-33,2.125262248e-33,0.000000000e+00,0.000000000e+00
1.314995119e-32,2.658375872e-32,3.363464059e-33,4.792509945e-34,0.000000000e+00,0.000000000e+00
1.280933105e-32,2.633671925e-32,3.223464554e-33,-1.395836963e-33,0.000000000e+00,0.000000000e+00
1.238650032e-32,2.632370278e-32,2.084919304e-33,-2.942891894e-33,0.000000000e+00,0.000000000e+00
1.203800047e-32,2.661077496e-32,2.523776732e-34,-3.728279026e-33,0.000000000e+00,0.000000000e+00
1.199602412e-32,2.714734089e-32,-1.844903717e-33,-3.567968558e-33,0.000000000e+00,0.000000000e+00
1.245618184e-32,2.768416787e-32,-3.833861658e-33,-2.454116844e-33,0.000000000e+00,0.000000000e+00
1.339133238e-32,2.781263974e-32,-5.388106273e-33,-3.849879599e-34,0.000000000e+00,0.000000000e+00
1.442463523e-32,2.717831825e-32,-6.020649894e-33,2.647872413e-33,0.000000000e+00,0.000000000e+00
1.491581472e-32,2.578116161e-32,-4.944618321e-33,6.348238254e-33,0.000000000e+00,0.000000000e+00
1.429441198e-32,2.415053721e-32,-1.363961612e-33,9.651421580e-33,0.000000000e+00,0.000000000e+00
1.247142754e-32,2.322103569e-32,4.723290794e-33,1.061506529e-32,0.000000000e+00,0.000000000e+00
1.000499287e-32,2.389677473e-32,1.164180556e-32,7.142086041e-33,0.000000000e+00,0.000000000e+00
8.418690933e-33,2.716848189e-32,1.597790535e-32,-1.655962316e-33,0.000000000e+00,0.000000000e+00
3.277693040e-33,3.540013026e-32,1.487968929e-32,-1.213316711e-32,0.000000000e+00,0.000000000e+00
-6.245718441e-33,5.530901652e-32,-1.411546458e-32,3.902350627e-33,0.000000000e+00,0.000000000e+00
1.274604758e-33,4.627367669e-32,-1.189559945e-32,-1.289629947e-33,0.000000000e+00,0.000000000e+00
4.053090150e-33,3.889483011e-32,-8.035146004e-33,-5.606012492e-33,0.000000000e+00,0.000000000e+00
7.934582420e-33,3.640763144e-32,-4.071494423e-33,-7.568845688e-33,0.000000000e+00,0.000000000e+00
1.135129539e-32,3.666511397e-32,-1.487268453e-34,-7.711018564e-33,0.000000000e+00,0.000000000e+00
1.330183367e-32,3.837135241e-32,3.191647022e-33,-6.144114837e-33,0.000000000e+00,0.000000000e+00
1.376792681e-32,4.028456832e-32,5.170368157e-33,-3.254254551e-33,0.000000000e+00,0.000000000e+00
1.329056373e-32,4.165243709e-32,5.283222082e-33,7.503745551e-36,0.000000000e+00,0.000000000e+00
1.252540981e-32,4.229506010e-32,3.757977007e-33,2.526468457e-33,0.000000000e+00,0.000000000e+00
1.191709843e-32,4.241452079e-32,1.455663239e-33,3.632191908e-33,0.000000000e+00,0.000000000e+00
1.161327615e-32,4.232262455e-32,-6.572485628e-34,3.371164658e-33,0.000000000e+00,0.000000000e+00
1.155308283e-32,4.225268083e-32,-2.001198220e-33,2.287241193e-33,0.000000000e+00,-0.000000000e+00
1.160228361e-32,4.230532564e-32,-2.504062993e-33,9.771858062e-34,0.000000000e+00,0.000000000e+00
1.164405832e-32,4.248335986e-32,-2.381126049e-33,-2.078584540e-34,0.000000000e+00,0.000000000e+00
1.160665909e-32,4.274587818e-32,-1.852222798e-33,-1.161843458e-33,0.000000000e+00,0.000000000e+00
1.145582563e-32,4.304102608e-32,-1.031778676e-33,-1.849565162e-33,0.000000000e+00,0.000000000e+00
1.118419212e-32,4.331567024e-32,-8.216327942e-36,-2.181678784e-33,0.000000000e+00,0.000000000e+00
1.080983400e-32,4.351852647e-32,1.040612716e-33,-2.047754816e-33,0.000000000e+00,0.000000000e+00
1.037770036e-32,4.360875951e-32,1.842316736e-33,-1.440480048e-33,0.000000000e+00,0.000000000e+00
9.953828312e-33,4.356912742e-32,2.148313287e-33,-5.294663466e-34,0.000000000e+00,0.000000000e+00
9.609389740e-33,4.341518177e-32,1.871609123e-33,3.919596174e-34,0.000000000e+00,0.000000000e+00
9.400000332e-33,4.319368559e-32,1.133360974e-33,1.045217505e-33,0.000000000e+00,0.000000000e+00
9.348850530e-33,4.296985604e-32,1.928136065e-34,1.286090044e-33,0.000000000e+00,0.000000000e+00
9.439832798e-33,4.280851236e-32,-6.766159677e-34,1.133164283e-33,0.000000000e+00,0.000000000e+00
9.622176433e-33,4.275601292e-32,-1.281172768e-33,7.118626961e-34,0.000000000e+00,0.000000000e+00
9.824115186e-33,4.282850426e-32,-1.531811504e-33,1.743907488e-34,0.000000000e+00,0.000000000e+00
9.970966619e-33,4.300918295e-32,-1.420631680e-33,-3.500698063e-34,0.000000000e+00,0.000000000e+00
1.000261140e-32,4.325432276e-32,-9.922087231e-34,-7.642117647e-34,0.000000000e+00,0.000000000e+00
