Re_px,Im_px,Re_py,Im_py,Re_pz,Im_pz
3.113272625e-33,7.227388935e-33,1.510382048e-33,8.340446568e-34,0.000000000e+00,0.000000000e+00
1.018631286e-32,1.045960389e-32,2.027793736e-33,-2.483471407e-33,0.000000000e+00,0.000000000e+00
1.577524633e-32,4.264911898e-33,-5.606004770e-34,-4.912848260e-33,0.000000000e+00,0.000000000e+00
1.309747599e-32,-4.061876362e-33,-3.471408683e-33,-2.903197372e-33,0.000000000e+00,0.000000000e+00
5.285832371e-33,-4.681557351e-33,-2.918521185e-33,1.702368675e-33,0.000000000e+00,-0.000000000e+00
1.535298943e-33,3.011510882e-33,8.870503411e-34,3.915201848e-33,0.000000000e+00,0.000000000e+00
6.002177911e-33,9.920025218e-33,3.709039542e-33,1.645271454e-33,0.000000000e+00,0.000000000e+00
1.302784007e-32,8.306873886e-33,2.310454468e-33,-1.905149449e-33,0.000000000e+00,0.000000000e+00
1.425177485e-32,7.177741792e-34,-1.670616931e-33,-2.279960093e-33,0.000000000e+00,0.000000000e+00
8.594644613e-33,-3.687229645e-33,-3.690137185e-33,8.810910628e-34,0.000000000e+00,0.000000000e+00
3.066436446e-33,-2.672848287e-34,-1.616695514e-33,3.640551439e-33,0.000000000e+00,0.000000000e+00
3.975690069e-33,6.143847420e-33,2.001378678e-33,2.648182868e-33,0.000000000e+00,0.000000000e+00
9.587630060e-33,7.793465571e-33,3.180353251e-33,-1.002216059e-33,0.000000000e+00,0.000000000e+00
1.283193473e-32,3.366320905e-33,1.087585661e-33,-3.392450955e-33,0.000000000e+00,0.000000000e+00
1.011184456e-32,-1.145152734e-33,-1.440491482e-33,-2.485896203e-33,0.000000000e+00,0.000000000e+00
5.301254002e-33,-2.862359576e-34,-1.627589198e-33,-1.116651839e-34,-0.000000000e+00,0.000000000e+00
4.548900336e-33,4.426107633e-33,7.244710312e-35,7.764200487e-34,0.000000000e+00,0.000000000e+00
8.752812496e-33,6.970452138e-33,1.018906926e-33,-2.505963676e-34,0.000000000e+00,0.000000000e+00
1.279421301e-32,4.386122772e-33,-7.546838109e-35,-1.013059733e-33,0.000000000e+00,0.000000000e+00
1.191831219e-32,-2.370140563e-35,-1.630609171e-33,1.181666049e-34,0.000000000e+00,0.000000000e+00
7.226415461e-33,-1.156810206e-33,-1.368506347e-33,2.059253427e-33,0.000000000e+00,0.000000000e+00
3.989522213e-33,1.851886282e-33,7.650325072e-34,2.453244996e-33,0.000000000e+00,0.000000000e+00
5.401573899e-33,5.233617532e-33,2.521226849e-33,6.557692822e-34,0.000000000e+00,0.000000000e+00
9.346383917e-33,5.509861116e-33,2.017166489e-33,-1.509905933e-33,0.000000000e+00,0.000000000e+00
1.143226170e-32,3.256010759e-33,-1.830149288e-34,-1.970395451e-33,0.000000000e+00,0.000000000e+00
1.003697935e-32,1.570083863e-33,-1.907660993e-33,-6.969291540e-34,0.000000000e+00,0.000000000e+00
7.463981526e-33,1.992857989e-33,-1.850755274e-33,5.963211374e-34,0.000000000e+00,0.000000000e+00
6.622863454e-33,3.151108507e-33,-6.956044237e-34,6.387701412e-34,0.000000000e+00,0.000000000e+00
7.780948421e-33,3.183897905e-33,1.194788765e-34,-1.372221627e-34,0.000000000e+00,0.000000000e+00
8.996166982e-33,2.224360327e-33,1.499259493e-34,-5.360291934e-34,0.000000000e+00,0.000000000e+00
8.918811820e-33,1.819444978e-33,1.022629686e-34,-1.908250733e-34,0.000000000e+00,0.000000000e+00
8.176422102e-33,2.584720225e-33,5.532816914e-34,2.320997178e-34,0.000000000e+00,0.000000000e+00
8.029115072e-33,3.463405073e-33,1.095782881e-33,1.744668668e-34,0.000000000e+00,0.000000000e+00
8.567452630e-33,3.361298245e-33,9.485764205e-34,-5.274777890e-35,0.000000000e+00,0.000000000e+00
8.848520088e-33,2.653712790e-33,6.574808023e-35,1.619607738e-34,0.000000000e+00,0.000000000e+00
8.433645203e-33,2.507339650e-33,-7.598493932e-34,7.751463754e-34,0.000000000e+00,0.000000000e+00
7.995868254e-33,3.141480102e-33,-8.689989758e-34,1.097389769e-33,0.000000000e+00,-0.000000000e+00
8.211455879e-33,3.533707652e-33,-4.626888241e-34,6.843317807e-34,0.000000000e+00,0.000000000e+00
8.644713910e-33,2.922760135e-33,-1.822500893e-34,-1.454504211e-34,0.000000000e+00,0.000000000e+00
8.321736434e-33,1.944036575e-33,-1.931764925e-34,-7.966672272e-34,0.000000000e+00,0.000000000e+00
7.268136889e-33,1.811013849e-33,-2.873491903e-35,-1.111347104e-33,0.000000000e+00,0.000000000e+00
6.814036397e-33,2.692370228e-33,6.221169097e-34,-1.322202012e-33,0.000000000e+00,0.000000000e+00
8.006181056e-33,3.505337402e-33,1.284052128e-33,-1.430959783e-33,0.000000000e+00,0.000000000e+00
1.004877213e-32,3.360323835e-33,1.137635079e-33,-1.026737704e-33,0.000000000e+00,0.000000000e+00
1.089919332e-32,2.663770899e-33,4.438091416e-35,1.146418219e-34,0.000000000e+00,0.000000000e+00
9.546227089e-33,2.440228242e-33,-1.143036344e-33,1.491391673e-33,0.000000000e+00,0.000000000e+00
7.294217483e-33,2.901453495e-33,-1.443847742e-33,2.231053906e-33,0.000000000e+00,0.000000000e+00
6.401254967e-33,3.244201683e-33,-7.950937695e-34,1.967763095e-33,-0.000000000e+00,0.000000000e+00
7.554186193e-33,2.870767416e-33,-3.958805634e-35,1.135491552e-33,0.000000000e+00,0.000000000e+00
9.127496643e-33,2.256922241e-33,1.133103134e-34,3.364117536e-34,0.000000000e+00,0.000000000e+00
9.127496643e-33,2.256922241e-33,-1.133103134e-34,-3.364117536e-34,0.000000000e+00,0.000000000e+00
7.554186193e-33,2.870767416e-33,3.958805634e-35,-1.135491552e-33,0.000000000e+00,0.000000000e+00
6.401254967e-33,3.244201683e-33,7.950937695e-34,-1.967763095e-33,0.000000000e+00,0.000000000e+00
7.294217483e-33,2.901453495e-33,1.443847742e-33,-2.231053906e-33,0.000000000e+00,0.000000000e+00
9.546227089e-33,2.440228242e-33,1.143036344e-33,-1.491391673e-33,0.000000000e+00,0.000000000e+00
1.089919332e-32,2.663770899e-33,-4.438091416e-35,-1.146418219e-34,0.000000000e+00,0.000000000e+00
1.004877213e-32,3.360323835e-33,-1.137635079e-33,1.026737704e-33,0.000000000e+00,0.000000000e+00
8.006181056e-33,3.505337402e-33,-1.284052128e-33,1.430959783e-33,0.000000000e+00,0.000000000e+00
6.814036397e-33,2.692370228e-33,-6.221169097e-34,1.322202012e-33,0.000000000e+00,0.000000000e+00
7.268136889e-33,1.811013849e-33,2.873491903e-35,1.111347104e-33,0.000000000e+00,0.000000000e+00
8.321736434e-33,1.944036575e-33,1.931764925e-34,7.966672272e-34,0.000000000e+00,0.000000000e+00
8.644713910e-33,2.922760135e-33,1.822500893e-34,1.454504211e-34,0.000000000e+00,0.000000000e+00
8.211455879e-33,3.533707652e-33,4.626888241e-34,-6.843317807e-34,0.000000000e+00,0.000000000e+00
7.995868254e-33,3.141480102e-33,8.689989758e-34,-1.097389769e-33,0.000000000e+00,0.000000000e+00
8.433645203e-33,2.507339650e-33,7.598493932e-34,-7.751463754e-34,0.000000000e+00,0.000000000e+00
8.848520088e-33,2.653712790e-33,-6.574808023e-35,-1.619607738e-34,0.000000000e+00,0.000000000e+00
8.567452630e-33,3.361298245e-33,-9.485764205e-34,5.274777890e-35,0.000000000e+00,0.000000000e+00
8.029115072e-33,3.463405073e-33,-1.095782881e-33,-1.744668668e-34,0.000000000e+00,0.000000000e+00
8.176422102e-33,2.584720225e-33,-5.532816914e-34,-2.320997178e-34,0.000000000e+00,-0.000000000e+00
8.918811820e-33,1.819444978e-33,-1.022629686e-34,1.908250733e-34,0.000000000e+00,0.000000000e+00
8.996166982e-33,2.224360327e-33,-1.499259493e-34,5.360291934e-34,0.000000000e+00,0.000000000e+00
7.780948421e-33,3.183897905e-33,-1.194788765e-34,1.372221626e-34,0.000000000e+00,0.000000000e+00
6.622863454e-33,3.151108507e-33,6.956044237e-34,-6.387701412e-34,0.000000000e+00,0.000000000e+00
7.463981526e-33,1.992857989e-33,1.850755274e-33,-5.963211374e-34,0.000000000e+00,0.000000000e+00
1.003697935e-32,1.570083863e-33,1.907660993e-33,6.969291540e-34,0.000000000e+00,0.000000000e+00
1.143226170e-32,3.256010759e-33,1.830149288e-34,1.970395451e-33,0.000000000e+00,0.000000000e+00
9.346383917e-33,5.509861116e-33,-2.017166489e-33,1.509905933e-33,0.000000000e+00,0.000000000e+00
5.401573899e-33,5.233617532e-33,-2.521226849e-33,-6.557692822e-34,0.000000000e+00,0.000000000e+00
3.989522213e-33,1.851886282e-33,-7.650325072e-34,-2.453244996e-33,0.000000000e+00,0.000000000e+00
7.226415461e-33,-1.156810206e-33,1.368506347e-33,-2.059253427e-33,-0.000000000e+00,0.000000000e+00
1.191831219e-32,-2.370140563e-35,1.630609171e-33,-1.181666049e-34,0.000000000e+00,0.000000000e+00
1.279421301e-32,4.386122772e-33,7.546838109e-35,1.013059733e-33,0.000000000e+00,0.000000000e+00
8.752812496e-33,6.970452138e-33,-1.018906926e-33,2.505963676e-34,0.000000000e+00,0.000000000e+00
4.548900336e-33,4.426107633e-33,-7.244710312e-35,-7.764200487e-34,0.000000000e+00,0.000000000e+00
5.301254002e-33,-2.862359576e-34,1.627589198e-33,1.116651839e-34,0.000000000e+00,0.000000000e+00
1.011184456e-32,-1.145152734e-33,1.440491482e-33,2.485896203e-33,0.000000000e+00,0.000000000e+00
1.283193473e-32,3.366320905e-33,-1.087585661e-33,3.392450955e-33,0.000000000e+00,0.000000000e+00
9.587630060e-33,7.793465571e-33,-3.180353251e-33,1.002216059e-33,0.000000000e+00,0.000000000e+00
3.975690069e-33,6.143847420e-33,-2.001378678e-33,-2.648182868e-33,0.000000000e+00,0.000000000e+00
3.066436446e-33,-2.672848287e-34,1.616695514e-33,-3.640551439e-33,0.000000000e+00,0.000000000e+00
8.594644613e-33,-3.687229645e-33,3.690137185e-33,-8.810910628e-34,0.000000000e+00,0.000000000e+00
1.425177485e-32,7.177741792e-34,1.670616931e-33,2.279960093e-33,0.000000000e+00,0.000000000e+00
1.302784007e-32,8.306873886e-33,-2.310454468e-33,1.905149449e-33,0.000000000e+00,0.000000000e+00
6.002177911e-33,9.920025218e-33,-3.709039542e-33,-1.645271454e-33,0.000000000e+00,0.000000000e+00
1.535298943e-33,3.011510882e-33,-8.870503411e-34,-3.915201848e-33,0.000000000e+00,0.000000000e+00
5.285832371e-33,-4.681557351e-33,2.918521185e-33,-1.702368675e-33,0.000000000e+00,0.000000000e+00
1.309747599e-32,-4.061876362e-33,3.471408683e-33,2.903197372e-33,0.000000000e+00,0.000000000e+00
1.577524633e-32,4.264911898e-33,5.606004770e-34,4.912848260e-33,0.000000000e+00,0.000000000e+00
1.018631286e-32,1.045960389e-32,-2.027793736e-33,2.483471407e-33,0.000000000e+00,0.000000000e+00
3.113272625e-33,7.227388935e-33,-1.510382048e-33,-8.340446568e-34,0.000000000e+00,0.000000000e+00
4.497846530e-34,1.068560378e-32,-9.575679342e-34,2.260896475e-33,0.000000000e+00,-0.000000000e+00
1.154851583e-32,1.637680245e-32,2.551065213e-34,4.392238401e-34,0.000000000e+00,0.000000000e+00
2.054998189e-32,6.748262550e-33,-7.502980060e-34,-1.715977459e-33,0.000000000e+00,0.000000000e+00
1.621437059e-32,-6.539627145e-33,-2.447296689e-33,-1.166446770e-33,0.000000000e+00,0.000000000e+00
3.632816770e-33,-7.375130957e-33,-1.912019367e-33,1.257130140e-33,0.000000000e+00,0.000000000e+00
-2.001199902e-33,5.093529607e-33,9.526628237e-34,2.208806064e-33,0.000000000e+00,0.000000000e+00
5.924301823e-33,1.584602957e-32,3.070441256e-33,3.362107561e-34,0.000000000e+00,0.000000000e+00
1.763306629e-32,1.254219139e-32,2.024848718e-33,-1.947910487e-33,0.000000000e+00,0.000000000e+00
1.921781791e-32,2.219032328e-35,-8.884752517e-34,-1.604234793e-33,0.000000000e+00,0.000000000e+00
9.355394756e-33,-6.444608323e-33,-2.225633198e-33,1.115727473e-33,0.000000000e+00,0.000000000e+00
1.852783062e-34,1.523772120e-34,-5.504970884e-34,2.944328087e-33,0.000000000e+00,-0.000000000e+00
2.167472776e-33,1.099116630e-32,1.957302546e-33,1.617161131e-33,-0.000000000e+00,0.000000000e+00
1.194299869e-32,1.313980723e-32,2.256452694e-33,-1.434987213e-33,0.000000000e+00,0.000000000e+00
1.740622630e-32,5.109923509e-33,2.557998300e-35,-2.928124468e-33,0.000000000e+00,0.000000000e+00
1.269170491e-32,-2.548165515e-33,-2.208264005e-33,-1.611366813e-33,0.000000000e+00,0.000000000e+00
4.525476739e-33,-9.481696970e-34,-2.232831044e-33,5.845722364e-34,0.000000000e+00,0.000000000e+00
3.117940272e-33,6.793807077e-33,-5.644462314e-34,1.228204466e-33,0.000000000e+00,0.000000000e+00
9.704240932e-33,1.057053587e-32,6.232406044e-34,2.732595474e-34,0.000000000e+00,0.000000000e+00
1.580187853e-32,6.112591901e-33,3.369199596e-34,-3.566249173e-34,0.000000000e+00,0.000000000e+00
1.405636572e-32,-5.008425433e-34,-2.767970684e-34,4.177738266e-34,0.000000000e+00,0.000000000e+00
6.841229612e-33,-1.166824831e-33,2.065677302e-34,1.418410484e-33,0.000000000e+00,0.000000000e+00
2.700968765e-33,4.409892222e-33,1.454632453e-33,9.087039403e-34,0.000000000e+00,0.000000000e+00
5.964432665e-33,9.262312045e-33,1.803144134e-33,-9.706537943e-34,0.000000000e+00,0.000000000e+00
1.229117354e-32,8.194530410e-33,4.697616577e-34,-2.219705433e-33,0.000000000e+00,0.000000000e+00
1.460166080e-32,3.510300524e-33,-1.348718318e-33,-1.385042418e-33,0.000000000e+00,0.000000000e+00
1.128977115e-32,1.112807457e-33,-1.863235946e-33,7.052167682e-34,0.000000000e+00,0.000000000e+00
7.040622432e-33,3.027558734e-33,-7.770064911e-34,1.956894967e-33,0.000000000e+00,0.000000000e+00
6.463727401e-33,5.816625503e-33,4.895313242e-34,1.390846642e-33,0.000000000e+00,0.000000000e+00
9.010420581e-33,5.813954749e-33,5.865050417e-34,-3.881387618e-36,0.000000000e+00,0.000000000e+00
1.079316834e-32,3.659356378e-33,-2.402370575e-34,-7.249242561e-34,0.000000000e+00,0.000000000e+00
9.906817164e-33,2.649341342e-33,-6.652755692e-34,-4.873968365e-34,0.000000000e+00,0.000000000e+00
8.279860039e-33,3.995543712e-33,-2.500545037e-35,-1.730331592e-34,0.000000000e+00,0.000000000e+00
8.441700982e-33,5.544564943e-33,9.236232018e-34,-3.977579580e-34,0.000000000e+00,-0.000000000e+00
1.009357684e-32,5.135864403e-33,1.048776054e-33,-7.175144357e-34,0.000000000e+00,0.000000000e+00
1.087916615e-32,3.560833957e-33,2.625989243e-34,-3.830566682e-34,0.000000000e+00,0.000000000e+00
9.799760712e-33,3.198843559e-33,-4.453180923e-34,5.454318884e-34,0.000000000e+00,0.000000000e+00
8.465909246e-33,4.592534432e-33,-2.916390170e-34,1.228486703e-33,0.000000000e+00,0.000000000e+00
8.685825579e-33,5.798105350e-33,3.602865277e-34,1.074565304e-33,0.000000000e+00,0.000000000e+00
9.894249769e-33,5.199179638e-33,5.200517299e-34,3.524045458e-34,0.000000000e+00,0.000000000e+00
9.977902122e-33,3.709460920e-33,-1.801216956e-34,-3.097200478e-34,0.000000000e+00,0.000000000e+00
8.354252456e-33,3.377721139e-33,-1.056770895e-33,-7.045006180e-34,0.000000000e+00,0.000000000e+00
7.073714375e-33,4.499106239e-33,-1.215187628e-33,-1.037129070e-33,0.000000000e+00,0.000000000e+00
8.285774577e-33,5.283509130e-33,-5.622420970e-34,-1.297671313e-33,0.000000000e+00,0.000000000e+00
1.124143772e-32,4.441509925e-33,2.044922452e-34,-1.064084042e-33,-0.000000000e+00,0.000000000e+00
1.280279364e-32,3.014445294e-33,4.960500243e-34,-9.866447596e-35,0.000000000e+00,0.000000000e+00
1.108873229e-32,2.931366835e-33,4.463919751e-34,1.114512004e-33,0.000000000e+00,0.000000000e+00
7.850747295e-33,4.356036075e-33,5.453231610e-34,1.735914202e-33,0.000000000e+00,0.000000000e+00
6.560142959e-33,5.501017283e-33,8.718152086e-34,1.450828399e-33,0.000000000e+00,0.000000000e+00
8.381218750e-33,5.099567635e-33,9.570051897e-34,7.360900253e-34,0.000000000e+00,0.000000000e+00
1.084488349e-32,4.062898530e-33,4.293310969e-34,1.852403689e-34,0.000000000e+00,0.000000000e+00
