Re_px,Im_px,Re_py,Im_py,Re_pz,Im_pz
9.486234188e-33,3.020548593e-33,7.357857843e-34,8.364725140e-34,0.000000000e+00,0.000000000e+00
9.090881280e-33,4.040494765e-33,-2.015087981e-34,1.590438925e-36,0.000000000e+00,0.000000000e+00
8.236540939e-33,3.337506130e-33,-7.026607431e-34,-7.729396740e-34,0.000000000e+00,0.000000000e+00
7.525336022e-33,1.851912620e-33,-5.697848538e-34,-7.495580524e-34,0.000000000e+00,0.000000000e+00
7.545941328e-33,1.053242473e-33,-8.209514148e-35,-1.640303043e-35,0.000000000e+00,0.000000000e+00
8.179885447e-33,1.599511154e-33,2.959490030e-34,7.068077259e-34,0.000000000e+00,0.000000000e+00
8.755603486e-33,2.831279055e-33,2.945494614e-34,7.647542133e-34,0.000000000e+00,0.000000000e+00
8.678076897e-33,3.503093675e-33,2.774933053e-35,1.521038802e-34,0.000000000e+00,0.000000000e+00
7.982887268e-33,3.006578368e-33,-1.634844421e-34,-5.308165327e-34,0.000000000e+00,0.000000000e+00
7.309822508e-33,1.914755248e-33,-5.833068482e-35,-6.742834396e-34,0.000000000e+00,0.000000000e+00
7.312937086e-33,1.365046558e-33,2.330779053e-34,-2.229002545e-34,0.000000000e+00,0.000000000e+00
8.044449255e-33,1.918908492e-33,3.892964454e-34,3.185959496e-34,0.000000000e+00,0.000000000e+00
8.884276227e-33,3.015826673e-33,2.080053011e-34,4.118335640e-34,0.000000000e+00,0.000000000e+00
9.091051930e-33,3.538149521e-33,-1.740633732e-34,1.258643268e-35,0.000000000e+00,0.000000000e+00
8.475150164e-33,2.919889971e-33,-3.903888503e-34,-4.114061992e-34,0.000000000e+00,0.000000000e+00
7.574685168e-33,1.714655764e-33,-1.885046183e-34,-3.728314995e-34,0.000000000e+00,-0.000000000e+00
7.169783531e-33,1.072773815e-33,3.147805121e-34,1.305522260e-34,0.000000000e+00,0.000000000e+00
7.581063307e-33,1.635958369e-33,7.145209086e-34,6.011433401e-34,0.000000000e+00,0.000000000e+00
8.396679964e-33,2.915891148e-33,6.701377905e-34,5.327267794e-34,0.000000000e+00,0.000000000e+00
8.871911846e-33,3.751117418e-33,2.077553463e-34,-7.448309841e-35,0.000000000e+00,0.000000000e+00
8.620095925e-33,3.399657512e-33,-3.059143285e-34,-6.833802310e-34,0.000000000e+00,0.000000000e+00
7.949235518e-33,2.223000734e-33,-4.919951555e-34,-7.134727393e-34,0.000000000e+00,0.000000000e+00
7.540448200e-33,1.320547014e-33,-2.847528161e-34,-8.971663838e-35,0.000000000e+00,0.000000000e+00
7.786594277e-33,1.481797954e-33,4.275213496e-35,6.779239845e-34,0.000000000e+00,0.000000000e+00
8.423301573e-33,2.463892625e-33,1.625943312e-34,9.605353229e-34,0.000000000e+00,0.000000000e+00
8.796953830e-33,3.269480584e-33,5.047714418e-36,5.792264124e-34,0.000000000e+00,0.000000000e+00
8.503854380e-33,3.130670228e-33,-1.981723987e-34,-5.774097222e-35,0.000000000e+00,0.000000000e+00
7.784578666e-33,2.238380180e-33,-1.720552263e-34,-3.662512778e-34,0.000000000e+00,0.000000000e+00
7.297988999e-33,1.524633462e-33,1.039947628e-34,-1.408858970e-34,0.000000000e+00,0.000000000e+00
7.495453512e-33,1.731707123e-33,3.569904034e-34,2.775955368e-34,0.000000000e+00,0.000000000e+00
8.195269787e-33,2.683616594e-33,2.833215751e-34,3.681586239e-34,0.000000000e+00,0.000000000e+00
8.760003111e-33,3.461666377e-33,-1.403222469e-34,-4.051321978e-35,0.000000000e+00,0.000000000e+00
8.700059266e-33,3.299821109e-33,-6.039183820e-34,-5.949285217e-34,0.000000000e+00,0.000000000e+00
8.123617163e-33,2.323794163e-33,-7.292561311e-34,-7.620753118e-34,0.000000000e+00,0.000000000e+00
7.609610786e-33,1.423549301e-33,-4.073025817e-34,-3.532650575e-34,0.000000000e+00,0.000000000e+00
7.639308889e-33,1.396808465e-33,1.093833479e-34,2.843708343e-34,0.000000000e+00,0.000000000e+00
8.141437904e-33,2.200488204e-33,4.435331081e-34,5.924654012e-34,0.000000000e+00,0.000000000e+00
8.584755667e-33,3.025458005e-33,4.311515185e-34,3.257080563e-34,0.000000000e+00,0.000000000e+00
8.515024664e-33,3.100685584e-33,2.407921605e-34,-2.282772271e-34,0.000000000e+00,0.000000000e+00
8.004759940e-33,2.431517271e-33,1.700691463e-34,-5.368350732e-34,0.000000000e+00,0.000000000e+00
7.577292071e-33,1.760212865e-33,3.279435728e-34,-3.304992285e-34,0.000000000e+00,0.000000000e+00
7.685021603e-33,1.808611842e-33,5.180338184e-34,1.598343079e-34,0.000000000e+00,0.000000000e+00
8.257026953e-33,2.560091392e-33,4.374720013e-34,4.539048648e-34,0.000000000e+00,0.000000000e+00
8.760333221e-33,3.283623578e-33,-5.238314582e-36,3.010942097e-34,0.000000000e+00,0.000000000e+00
8.714806699e-33,3.263003950e-33,-5.680194297e-34,-8.610410060e-35,0.000000000e+00,0.000000000e+00
8.158278312e-33,2.503201620e-33,-8.739086712e-34,-2.651313631e-34,0.000000000e+00,0.000000000e+00
7.608453086e-33,1.719065427e-33,-7.438568965e-34,-2.072444293e-35,0.000000000e+00,0.000000000e+00
7.560594618e-33,1.626843616e-33,-3.460927745e-34,4.124469482e-34,0.000000000e+00,-0.000000000e+00
8.012503837e-33,2.245391550e-33,-2.196594796e-35,5.821785812e-34,0.000000000e+00,0.000000000e+00
8.479229216e-33,2.896566890e-33,3.926300738e-35,2.726780678e-34,0.000000000e+00,0.000000000e+00
8.479229216e-33,2.896566890e-33,-3.926300738e-35,-2.726780678e-34,0.000000000e+00,0.000000000e+00
8.012503837e-33,2.245391550e-33,2.196594796e-35,-5.821785812e-34,0.000000000e+00,0.000000000e+00
7.560594618e-33,1.626843616e-33,3.460927745e-34,-4.124469482e-34,0.000000000e+00,0.000000000e+00
7.608453086e-33,1.719065427e-33,7.438568965e-34,2.072444293e-35,0.000000000e+00,0.000000000e+00
8.158278312e-33,2.503201620e-33,8.739086712e-34,2.651313631e-34,0.000000000e+00,0.000000000e+00
8.714806699e-33,3.263003950e-33,5.680194297e-34,8.610410060e-35,0.000000000e+00,0.000000000e+00
8.760333221e-33,3.283623578e-33,5.238314582e-36,-3.010942097e-34,0.000000000e+00,0.000000000e+00
8.257026953e-33,2.560091392e-33,-4.374720013e-34,-4.539048648e-34,0.000000000e+00,0.000000000e+00
7.685021603e-33,1.808611842e-33,-5.180338184e-34,-1.598343079e-34,0.000000000e+00,0.000000000e+00
7.577292071e-33,1.760212865e-33,-3.279435728e-34,3.304992285e-34,0.000000000e+00,0.000000000e+00
8.004759940e-33,2.431517271e-33,-1.700691463e-34,5.368350732e-34,0.000000000e+00,0.000000000e+00
8.515024664e-33,3.100685584e-33,-2.407921605e-34,2.282772271e-34,0.000000000e+00,0.000000000e+00
8.584755667e-33,3.025458005e-33,-4.311515185e-34,-3.257080563e-34,0.000000000e+00,0.000000000e+00
8.141437904e-33,2.200488204e-33,-4.435331081e-34,-5.924654012e-34,0.000000000e+00,0.000000000e+00
7.639308889e-33,1.396808465e-33,-1.093833479e-34,-2.843708343e-34,0.000000000e+00,0.000000000e+00
7.609610786e-33,1.423549301e-33,4.073025817e-34,3.532650575e-34,0.000000000e+00,0.000000000e+00
8.123617163e-33,2.323794163e-33,7.292561311e-34,7.620753118e-34,0.000000000e+00,0.000000000e+00
8.700059266e-33,3.299821109e-33,6.039183820e-34,5.949285217e-34,0.000000000e+00,0.000000000e+00
8.760003111e-33,3.461666377e-33,1.403222469e-34,4.051321978e-35,0.000000000e+00,0.000000000e+00
8.195269787e-33,2.683616594e-33,-2.833215751e-34,-3.681586239e-34,0.000000000e+00,0.000000000e+00
7.495453512e-33,1.731707123e-33,-3.569904034e-34,-2.775955368e-34,0.000000000e+00,0.000000000e+00
7.297988999e-33,1.524633462e-33,-1.039947628e-34,1.408858970e-34,0.000000000e+00,0.000000000e+00
7.784578666e-33,2.238380180e-33,1.720552263e-34,3.662512778e-34,0.000000000e+00,0.000000000e+00
8.503854380e-33,3.130670228e-33,1.981723987e-34,5.774097222e-35,0.000000000e+00,0.000000000e+00
8.796953830e-33,3.269480584e-33,-5.047714418e-36,-5.792264124e-34,0.000000000e+00,0.000000000e+00
8.423301573e-33,2.463892625e-33,-1.625943312e-34,-9.605353229e-34,0.000000000e+00,0.000000000e+00
7.786594277e-33,1.481797954e-33,-4.275213496e-35,-6.779239845e-34,0.000000000e+00,0.000000000e+00
