Frequency_Hz,Absorption_W
100000000000000.0,1.1965267993384071e-15
101003344481605.34,1.2343867898362916e-15
102006688963210.7,1.2730819534617889e-15
103010033444816.05,1.3124663527408196e-15
104013377926421.4,1.3523830693449298e-15
105016722408026.75,1.3926730141707824e-15
106020066889632.11,1.4331843344759672e-15
107023411371237.45,1.4737814841262273e-15
108026755852842.81,1.5143530771827666e-15
109030100334448.16,1.5548178523243827e-15
110033444816053.52,1.5951283876326525e-15
111036789297658.86,1.6352725525178805e-15
112040133779264.22,1.6752729976001338e-15
113043478260869.56,1.7151852155382325e-15
114046822742474.92,1.7550948358453794e-15
115050167224080.27,1.7951148502595195e-15
116053511705685.62,1.8353834238573677e-15
117056856187290.97,1.876062856528231e-15
118060200668896.31,1.9173401398549672e-15
119063545150501.67,1.959429415246001e-15
120066889632107.03,2.0025764768584314e-15
121070234113712.38,2.0470652604141575e-15
122073578595317.72,2.093225983431995e-15
123076923076923.08,2.1414441998585355e-15
124080267558528.44,2.1921694228578904e-15
125083612040133.78,2.245921051034797e-15
126086956521739.12,2.3032880078882836e-15
127090301003344.48,2.3649167581770473e-15
128093645484949.83,2.431480434993499e-15
129096989966555.19,2.5036204617117932e-15
130100334448160.53,2.581852904109973e-15
131103678929765.89,2.666437419529204e-15
132107023411371.23,2.757219847545489e-15
133110367892976.6,2.853480668225567e-15
134113712374581.94,2.953844748160507e-15
135117056856187.28,3.0563178530548835e-15
136120401337792.64,3.158493286777995e-15
137123745819398.0,3.257911608365114e-15
138127090301003.34,3.352481739127021e-15
139130434782608.69,3.440830552583367e-15
140133779264214.05,3.522473964490859e-15
141137123745819.4,3.597781357336017e-15
142140468227424.75,3.667785406011366e-15
143143812709030.1,3.733927796069336e-15
144147157190635.44,3.797822924884433e-15
145150501672240.8,3.861089857989588e-15
146153846153846.16,3.925272024116521e-15
147157190635451.5,3.991844028663349e-15
148160535117056.88,4.062292648831419e-15
149163879598662.22,4.138248927450881e-15
150167224080267.56,4.22163754327675e-15
151170568561872.9,4.314795950589093e-15
152173913043478.25,4.42049274978855e-15
153177257525083.62,4.541733707395638e-15
154180602006688.97,4.6811884645823125e-15
155183946488294.3,4.840054397860805e-15
156187290969899.66,5.016349575479178e-15
157190635451505.0,5.203204213866287e-15
158193979933110.38,5.3885884487949895e-15
159197324414715.72,5.558044868990287e-15
160200668896321.06,5.700057839425105e-15
161204013377926.44,5.810791560781161e-15
162207357859531.78,5.894855283740399e-15
163210702341137.12,5.962230394252425e-15
164214046822742.47,6.024211736772637e-15
165217391304347.8,6.09063657618965e-15
166220735785953.2,6.168844123918688e-15
167224080267558.53,6.263895470871404e-15
168227424749163.88,6.3794276369221874e-15
169230769230769.25,6.518187553643398e-15
170234113712374.56,6.680986681276275e-15
171237458193979.94,6.863630197388691e-15
172240802675585.28,7.0537016621906375e-15
173244147157190.62,7.231632696471661e-15
174247491638796.0,7.379151227778597e-15
175250836120401.34,7.490253794296039e-15
176254180602006.7,7.574600771852123e-15
177257525083612.06,7.650924546437637e-15
178260869565217.38,7.737555581344882e-15
179264214046822.75,7.846034667259204e-15
180267558528428.1,7.978534062825913e-15
181270903010033.44,8.127817955226313e-15
182274247491638.8,8.279321454480766e-15
