x,y,z,theta,ee_f0,ee_hw,ee_A,ee_B,ee_C,em_f0,em_hw,em_A,em_B,em_C,me_f0,me_hw,me_A,me_B,me_C,mm_f0,mm_hw,mm_A,mm_B,mm_C
8.500437225983066e-06,8.557013166786576e-06,0.0,0.1258156430047767,346418844585574.5,21254189365586.96,130567687.5830567,2.311963087149107e-21,-1.5957728533024305e-35,346418844585574.5,21254189365586.96,5.522656897605601e-08,0.0,0.0,346418844585574.5,21254189365586.96,5.7034221839538255e-08,0.0,0.0,346418844585574.5,21254189365586.96,3.696759283083952e-23,-1.0063820034723097e-22,1.5078760799111577e-37
8.732242297143777e-06,1.590685845658384e-05,0.0,0.6331312535465876,329272786416857.2,19979312886665.07,122269813.37636927,3.3923620104073735e-21,-6.504019272640153e-36,329272786416857.2,19979312886665.07,7.777696930408274e-08,0.0,0.0,329272786416857.2,19979312886665.07,6.460112901820503e-08,0.0,0.0,329272786416857.2,19979312886665.07,2.8104796729709366e-23,-5.165582175538939e-23,2.208399476241404e-37
8.142060888289486e-06,2.892182339812817e-06,0.0,-0.8827204587655773,327170115757025.9,22342397307560.855,143569044.3415987,3.611232255347938e-21,1.102889333763171e-36,327170115757025.9,22342397307560.855,6.40718708222443e-08,0.0,0.0,327170115757025.9,22342397307560.855,5.80273669035755e-08,0.0,0.0,327170115757025.9,22342397307560.855,3.312156383209952e-23,-8.691715480812309e-23,2.0032279108128355e-37
7.810009609267849e-06,5.7054128676429325e-06,0.0,-0.1987023845731045,306860172179304.1,19999445116274.297,130891317.44755046,1.4956301292686987e-21,-6.730621480312119e-36,306860172179304.1,19999445116274.297,4.871324645497493e-08,0.0,0.0,306860172179304.1,19999445116274.297,6.909474415243059e-08,0.0,0.0,306860172179304.1,19999445116274.297,2.587252103308998e-23,-1.0046501285946425e-22,1.562598573069685e-37
2.0912646667130428e-08,9.1990540977375e-06,0.0,0.3681614510639651,277186909617841.94,19651001376186.4,127564637.7319492,2.0477433479656654e-22,6.524592270780644e-36,277186909617841.94,19651001376186.4,6.847358795245876e-08,0.0,0.0,277186909617841.94,19651001376186.4,7.716777597392855e-08,0.0,0.0,277186909617841.94,19651001376186.4,3.989916321342655e-23,-8.84040822640669e-23,2.444514252321047e-37
9.018876252070195e-06,5.818899724706192e-06,0.0,0.48374417816700094,327364655796358.2,20305646078531.688,130975846.95598277,2.4075432263670268e-21,-6.359887691369585e-36,327364655796358.2,20305646078531.688,9.077972008831299e-08,0.0,0.0,327364655796358.2,20305646078531.688,7.547789579269795e-08,0.0,0.0,327364655796358.2,20305646078531.688,2.765120481902713e-23,-8.45463282711019e-23,3.119204669553747e-37
7.214844272390497e-06,5.9855836691050895e-06,0.0,0.8661787856706518,326925551838022.75,19619110636050.492,132773932.28807704,8.275851294095151e-23,-4.261695964843279e-36,326925551838022.75,19619110636050.492,6.398045817891279e-08,0.0,0.0,326925551838022.75,19619110636050.492,6.982209748596327e-08,0.0,0.0,326925551838022.75,19619110636050.492,4.33861464176673e-23,-1.0062169230616257e-22,2.4115213540789702e-37
4.00644949116495e-07,9.192892482042055e-06,0.0,0.24803433871764435,316490229996323.4,19496687091823.746,129213323.309526,4.39698834174977e-21,1.1163770960477135e-35,316490229996323.4,19496687091823.746,6.556568817150654e-08,0.0,0.0,316490229996323.4,19496687091823.746,6.615799923073897e-08,0.0,0.0,316490229996323.4,19496687091823.746,3.4838038423729005e-23,-1.057862071793506e-22,2.0603075374316216e-37
8.367723555484491e-07,9.277488448780308e-06,0.0,0.307272709752158,346168171350783.94,19722959871717.84,123364727.50065723,2.983293244367123e-21,-9.812115810154768e-36,346168171350783.94,19722959871717.84,6.35308812290177e-08,0.0,0.0,346168171350783.94,19722959871717.84,7.720789519218382e-08,0.0,0.0,346168171350783.94,19722959871717.84,4.1209485645866426e-23,-1.0532372749931267e-22,1.9765711057747807e-37
1.613556807234775e-06,9.386578906536672e-06,0.0,-0.581713059607442,332137080775583.9,18990335641533.02,144122204.42071503,2.755024398094912e-21,6.681902279539101e-36,332137080775583.9,18990335641533.02,6.680001119412922e-08,0.0,0.0,332137080775583.9,18990335641533.02,6.917212384859932e-08,0.0,0.0,332137080775583.9,18990335641533.02,3.366577135747239e-23,-9.195699152128308e-23,2.1920156363736483e-37
