x,y,z,theta,ee_f0,ee_hw,ee_A,ee_B,ee_C,em_f0,em_hw,em_A,em_B,em_C,me_f0,me_hw,me_A,me_B,me_C,mm_f0,mm_hw,mm_A,mm_B,mm_C
8.563221528639028e-06,8.85717399950205e-06,0.0,0.1551482476517226,347827292969405.56,21673309722726.566,131578564.44627298,2.3087226707868028e-21,2.324390593738546e-36,347827292969405.56,21673309722726.566,7.483668110155628e-08,0.0,0.0,347827292969405.56,21673309722726.566,6.801495180638223e-08,0.0,0.0,347827292969405.56,21673309722726.566,1.4607172420568182e-23,-1.1063519295598685e-22,2.4543589815306462e-37
8.812657497652262e-06,1.5908603258439717e-05,0.0,-0.22403752564127624,353723977739902.9,19190765174873.523,128306674.42426598,5.568722466880869e-22,-2.7527024486571968e-36,353723977739902.9,19190765174873.523,7.073075684834581e-08,0.0,0.0,353723977739902.9,19190765174873.523,6.406420819522506e-08,0.0,0.0,353723977739902.9,19190765174873.523,4.2587065256109397e-23,-9.96779913116227e-23,2.0457045734715263e-37
8.167358995683004e-06,2.873622737192101e-06,0.0,0.42013074485673557,289124659950013.25,21143911046766.438,109874575.08505137,-8.190682737637799e-22,-2.7997865669124667e-36,289124659950013.25,21143911046766.438,7.022700301046302e-08,0.0,0.0,289124659950013.25,21143911046766.438,8.44981880958689e-08,0.0,0.0,289124659950013.25,21143911046766.438,2.811993503690033e-23,-7.872263482094919e-23,1.8139872737958343e-37
7.652014286017631e-06,5.864545310734028e-06,0.0,-0.20877271093316901,349895907560210.44,20313063158804.39,127338935.27862148,3.2238150216068797e-21,-3.7866710974979916e-36,349895907560210.44,20313063158804.39,5.4519533923483734e-08,0.0,0.0,349895907560210.44,20313063158804.39,6.628833406722918e-08,0.0,0.0,349895907560210.44,20313063158804.39,4.485100212154934e-23,-9.221032410089118e-23,1.6726769908375547e-37
-7.686741854241856e-08,9.3312753039946e-06,0.0,-0.7194079283051567,311091994686718.94,20960716569533.574,149981763.49007407,-1.025092033745223e-21,-6.882374791442188e-36,311091994686718.94,20960716569533.574,7.487676075633027e-08,0.0,0.0,311091994686718.94,20960716569533.574,6.616457022495881e-08,0.0,0.0,311091994686718.94,20960716569533.574,3.109760247378577e-23,-9.480246538766383e-23,1.6012918907261075e-37
8.97636533974977e-06,5.717848444480578e-06,0.0,-0.16455283092296866,321207410441773.3,21098742769089.637,121133528.23752847,3.04349209473974e-21,7.395482063587797e-36,321207410441773.3,21098742769089.637,6.339879414137635e-08,0.0,0.0,321207410441773.3,21098742769089.637,7.80514763181084e-08,0.0,0.0,321207410441773.3,21098742769089.637,4.0706512891697604e-23,-9.097926114557838e-23,1.55585526339598e-37
7.113456013118161e-06,5.912321883777867e-06,0.0,0.14685467066445773,310555220553502.2,19911088443521.133,116405597.85999554,1.2148590286228963e-21,3.765535600142605e-36,310555220553502.2,19911088443521.133,6.049043838955897e-08,0.0,0.0,310555220553502.2,19911088443521.133,7.893461854334505e-08,0.0,0.0,310555220553502.2,19911088443521.133,3.5436698386157517e-23,-1.0401733292586096e-22,1.6611984218948644e-37
3.8932578714917115e-07,9.404391917738793e-06,0.0,0.14792900298175132,329494739835099.94,20206876317207.504,151601861.33677384,2.5958652079184175e-21,9.07574062792555e-37,329494739835099.94,20206876317207.504,9.33439756095184e-08,0.0,0.0,329494739835099.94,20206876317207.504,7.219083127893444e-08,0.0,0.0,329494739835099.94,20206876317207.504,2.227439017747579e-23,-9.713083828182436e-23,3.3276813576643994e-37
9.03228334371642e-07,9.421236260094098e-06,0.0,0.2556254836543472,290060642471954.7,21164484797327.074,129054551.17887592,1.8119338035273553e-21,-1.2339222858737454e-37,290060642471954.7,21164484797327.074,8.24573997018855e-08,0.0,0.0,290060642471954.7,21164484797327.074,6.874358199728013e-08,0.0,0.0,290060642471954.7,21164484797327.074,3.6045758333966e-23,-1.0248823107035871e-22,1.031851078105404e-37
1.6449310661249661e-06,9.315804147532295e-06,0.0,0.5507678636171921,314148217573613.8,20487496636452.312,126900254.99361509,4.0734924990371656e-21,-2.5970833924671945e-36,314148217573613.8,20487496636452.312,8.730866593889864e-08,0.0,0.0,314148217573613.8,20487496636452.312,6.149171845546023e-08,0.0,0.0,314148217573613.8,20487496636452.312,4.251053191685727e-23,-8.765838390085392e-23,3.0244283075214164e-37
1.0807272037358198e-06,9.434606630101261e-06,0.0,-0.1847505983140428,366283623410714.8,20064301916981.2,141831475.25099292,2.3526723970445793e-21,-2.713473944667377e-36,366283623410714.8,20064301916981.2,7.036003802016597e-08,0.0,0.0,366283623410714.8,20064301916981.2,6.173304944449229e-08,0.0,0.0,366283623410714.8,20064301916981.2,2.8595866506353293e-23,-7.703156957757966e-23,2.373912203620597e-37
1.1825105791908666e-05,6.043860850152362e-06,0.0,-0.35056097506509104,321300202269829.5,20490415458782.848,126727944.69849531,2.3533144249888994e-21,8.655540939187668e-36,321300202269829.5,20490415458782.848,7.947697201304425e-08,0.0,0.0,321300202269829.5,20490415458782.848,8.26490790504152e-08,0.0,0.0,321300202269829.5,20490415458782.848,4.725829839423257e-23,-8.009014117417783e-23,3.4664784635570575e-37
1.2259106499719102e-05,5.874135859160245e-06,0.0,0.7678759243233283,326446463775299.3,20265031057407.137,127024953.90721765,5.260218345788951e-21,-8.150762663600186e-36,326446463775299.3,20265031057407.137,7.09587717461994e-08,0.0,0.0,326446463775299.3,20265031057407.137,8.045366961416522e-08,0.0,0.0,326446463775299.3,20265031057407.137,3.29560749855463e-23,-9.975386885805903e-23,3.439913851285051e-37
