x,y,z,theta,ee_f0,ee_hw,ee_A,ee_B,ee_C,em_f0,em_hw,em_A,em_B,em_C,me_f0,me_hw,me_A,me_B,me_C,mm_f0,mm_hw,mm_A,mm_B,mm_C
8.84361308805085e-06,8.82381943924204e-06,0.0,-0.23452831568958246,311986276828209.9,21354670017127.28,122379916.36228925,-2.537929397838509e-22,-9.753997117637884e-36,311986276828209.9,21354670017127.28,4.7825964147551415e-08,0.0,0.0,311986276828209.9,21354670017127.28,7.726594685670542e-08,0.0,0.0,311986276828209.9,21354670017127.28,3.202483826959031e-23,-6.960791237883215e-23,2.3267826118414248e-37
8.626806909374128e-06,1.5903031627820046e-05,0.0,-0.02238387720736998,310964962011080.9,19369968162317.504,127968010.78314483,3.3973594253834224e-23,9.757061713246795e-36,310964962011080.9,19369968162317.504,5.31326293769341e-08,0.0,0.0,310964962011080.9,19369968162317.504,6.037900895532576e-08,0.0,0.0,310964962011080.9,19369968162317.504,1.6038241813822395e-23,-1.1983995125528863e-22,2.6445626489843323e-37
8.262387278981728e-06,2.990729047689722e-06,0.0,-0.280727030889065,344007861192920.4,20028391309874.465,126909699.4170278,1.8408182067951278e-21,-6.70283666954751e-37,344007861192920.4,20028391309874.465,5.612780253264411e-08,0.0,0.0,344007861192920.4,20028391309874.465,7.002660766539728e-08,0.0,0.0,344007861192920.4,20028391309874.465,5.860833185585107e-23,-9.258753407786434e-23,1.617997924426603e-37
7.580086176993915e-06,5.892881799734601e-06,0.0,0.4529991752007765,302282041856182.06,20356335054838.383,135573485.3895645,4.404617409832663e-21,-1.1621671575764146e-36,302282041856182.06,20356335054838.383,6.158385545356557e-08,0.0,0.0,302282041856182.06,20356335054838.383,7.868132893707514e-08,0.0,0.0,302282041856182.06,20356335054838.383,3.2466279510994056e-23,-7.691212765040325e-23,3.539510141901007e-37
-1.403089247502197e-07,9.464403656537106e-06,0.0,0.2229336047576619,339021719223137.6,19272671200537.113,129029128.2832103,4.273784315671477e-21,-8.520371178145807e-36,339021719223137.6,19272671200537.113,8.990597433544267e-08,0.0,0.0,339021719223137.6,19272671200537.113,6.83166513486792e-08,0.0,0.0,339021719223137.6,19272671200537.113,3.2672389455299396e-23,-1.0550314013914792e-22,2.0642061760872334e-37
8.922013365397644e-06,6.059645894686179e-06,0.0,0.21333171943161336,316711890509080.3,19221414752309.79,132835354.63388331,1.1212562924216554e-21,-5.136558069976688e-36,316711890509080.3,19221414752309.79,6.61900223825119e-08,0.0,0.0,316711890509080.3,19221414752309.79,6.513913795672556e-08,0.0,0.0,316711890509080.3,19221414752309.79,4.730817698088079e-23,-7.364267209723286e-23,1.6840548127001996e-37
7.011169076308076e-06,6.1617630774381784e-06,0.0,-0.0876644348829321,325798555949785.94,19793284344153.35,120031822.65666421,1.5961156745382996e-21,2.2365645134046912e-36,325798555949785.94,19793284344153.35,6.334968658344222e-08,0.0,0.0,325798555949785.94,19793284344153.35,7.056420080688455e-08,0.0,0.0,325798555949785.94,19793284344153.35,3.744693652355219e-23,-9.050076566142357e-23,2.305992927111782e-37
4.260117875865841e-07,9.292483071221628e-06,0.0,-0.04866868865199647,330379967503249.75,21917656529603.57,136429701.2057692,-4.1695243765736097e-22,5.4889373813394476e-36,330379967503249.75,21917656529603.57,7.039963920095511e-08,0.0,0.0,330379967503249.75,21917656529603.57,6.027916722793683e-08,0.0,0.0,330379967503249.75,21917656529603.57,5.969305322935353e-23,-8.066478216057818e-23,2.2136122108620453e-37
7.035672438936735e-07,9.30100578990399e-06,0.0,0.3253604899829479,319982913768584.6,20160298455730.816,122600613.29725567,3.48841071090848e-21,-1.8147522986867698e-36,319982913768584.6,20160298455730.816,6.144646489805442e-08,0.0,0.0,319982913768584.6,20160298455730.816,5.352012227988748e-08,0.0,0.0,319982913768584.6,20160298455730.816,2.897835587671057e-23,-1.175934140378288e-22,2.097441335394785e-37
1.8749365016058219e-06,9.197157293266848e-06,0.0,0.1471458262994547,322840214517782.94,19500682246528.355,124464501.89104104,2.2069365758905096e-21,1.3656887984799082e-35,322840214517782.94,19500682246528.355,6.622438899626306e-08,0.0,0.0,322840214517782.94,19500682246528.355,5.768344229775481e-08,0.0,0.0,322840214517782.94,19500682246528.355,3.734232397299122e-23,-1.0000758444865954e-22,1.6385031806710306e-37
