x,y,z,theta,ee_f0,ee_hw,ee_A,ee_B,ee_C,em_f0,em_hw,em_A,em_B,em_C,me_f0,me_hw,me_A,me_B,me_C,mm_f0,mm_hw,mm_A,mm_B,mm_C
8.625623525193933e-06,8.81875264833201e-06,0.0,0.33618208189463267,317468259181090.5,21028017366069.203,122157427.09705392,3.9127313858204157e-22,-3.100881108061331e-36,317468259181090.5,21028017366069.203,6.768152199223313e-08,0.0,0.0,317468259181090.5,21028017366069.203,7.153479472725695e-08,0.0,0.0,317468259181090.5,21028017366069.203,4.3153148863221626e-23,-9.133834479520604e-23,2.1137469091234484e-37
8.70496730638888e-06,1.5969696680692176e-05,0.0,0.2791396978804639,322549790116111.44,20465684199375.11,151387869.88844028,4.191977451441806e-21,-2.2602873806637007e-36,322549790116111.44,20465684199375.11,6.197121981156042e-08,0.0,0.0,322549790116111.44,20465684199375.11,8.961493766128939e-08,0.0,0.0,322549790116111.44,20465684199375.11,2.7399842282782486e-23,-9.509380787455267e-23,2.9421499020751696e-37
7.86545780101635e-06,2.9064282187198466e-06,0.0,0.2570256430330537,306475731370189.56,20818855093785.344,133374719.0662283,2.054324941349847e-21,-6.077077597878404e-36,306475731370189.56,20818855093785.344,8.376901742321024e-08,0.0,0.0,306475731370189.56,20818855093785.344,6.549361608684801e-08,0.0,0.0,306475731370189.56,20818855093785.344,4.3864647640681054e-23,-6.409686257503581e-23,1.7642745972474147e-37
7.575804190678668e-06,5.969165801955561e-06,0.0,0.20741941253202525,326289072777014.94,19194138206849.223,138338864.81909218,1.6238625790780873e-21,-7.186634426600579e-36,326289072777014.94,19194138206849.223,8.259422321351885e-08,0.0,0.0,326289072777014.94,19194138206849.223,6.444075544022354e-08,0.0,0.0,326289072777014.94,19194138206849.223,3.555020139864793e-23,-8.809815027964293e-23,2.017088552211711e-37
7.337681428529005e-08,9.239042204139412e-06,0.0,-0.6180361512035342,315537096890657.06,19795806534529.14,126644418.46884719,4.411237929357696e-22,-3.9015384256588214e-36,315537096890657.06,19795806534529.14,7.34808205406567e-08,0.0,0.0,315537096890657.06,19795806534529.14,7.200014778013436e-08,0.0,0.0,315537096890657.06,19795806534529.14,2.8571399138873266e-23,-6.619937606651276e-23,1.3052187422106767e-37
8.946170126298337e-06,5.9493858164090495e-06,0.0,-0.06493086117028803,320287603199185.94,20816495878078.125,125879748.8869299,3.6681316740281416e-21,-4.9196996812771774e-36,320287603199185.94,20816495878078.125,6.790737286278675e-08,0.0,0.0,320287603199185.94,20816495878078.125,8.067001957466112e-08,0.0,0.0,320287603199185.94,20816495878078.125,3.0112986909826106e-23,-7.840544619080112e-23,2.918494957966887e-37
7.1994119452490485e-06,6.019924479981845e-06,0.0,-0.2572292628412929,328576236758387.8,19794109181467.81,136253638.43974203,1.4187133418362072e-21,4.775926267822765e-36,328576236758387.8,19794109181467.81,6.860003030013863e-08,0.0,0.0,328576236758387.8,19794109181467.81,7.517197328148127e-08,0.0,0.0,328576236758387.8,19794109181467.81,3.227243978101505e-23,-7.700567655074287e-23,1.5877293146612601e-37
2.8339043597071166e-07,9.505401413454208e-06,0.0,0.05173692758231212,307583317396489.4,19465289735254.48,135078806.22098416,3.3805125914238317e-21,-1.8519604468746844e-36,307583317396489.4,19465289735254.48,7.13440808776034e-08,0.0,0.0,307583317396489.4,19465289735254.48,8.159348993143328e-08,0.0,0.0,307583317396489.4,19465289735254.48,3.684841338577933e-23,-1.1725755763658885e-22,1.2412610179040352e-37
9.920555842639294e-07,9.408161068809317e-06,0.0,0.08126069220650747,315910980011884.0,20729332534006.207,106154326.70796637,1.3483579975735471e-21,2.294878753028206e-36,315910980011884.0,20729332534006.207,6.144031734682067e-08,0.0,0.0,315910980011884.0,20729332534006.207,8.112887234045864e-08,0.0,0.0,315910980011884.0,20729332534006.207,4.2013785623375444e-23,-9.174702644577467e-23,1.638487880791293e-37
1.6072595054548597e-06,9.432596369876504e-06,0.0,0.3399823463432997,338127732058933.2,21322398419107.83,139478112.5786881,1.0017606889069705e-21,1.2491935102424445e-37,338127732058933.2,21322398419107.83,6.988242990748762e-08,0.0,0.0,338127732058933.2,21322398419107.83,7.423166799707197e-08,0.0,0.0,338127732058933.2,21322398419107.83,3.002920235556536e-23,-7.036967194685075e-23,2.4966823023782003e-37
