x,y,z,theta,ee_f0,ee_hw,ee_A,ee_B,ee_C,em_f0,em_hw,em_A,em_B,em_C,me_f0,me_hw,me_A,me_B,me_C,mm_f0,mm_hw,mm_A,mm_B,mm_C
8.72463848189455e-06,8.837714479050146e-06,0.0,0.16791438869098566,275734066128408.66,20601046975094.758,135873144.1138295,1.2166172142596388e-21,-7.572601877914105e-36,275734066128408.66,20601046975094.758,7.199641660758488e-08,0.0,0.0,275734066128408.66,20601046975094.758,8.364191251098006e-08,0.0,0.0,275734066128408.66,20601046975094.758,3.3499991258449024e-23,-6.961217968768087e-23,1.3747906620126841e-37
8.635978766543423e-06,1.578508890993291e-05,0.0,-0.1772733295997095,331653179380679.3,20555670009249.562,142230634.17582113,2.5977845831507778e-21,-7.23020412173557e-36,331653179380679.3,20555670009249.562,5.7275876295245235e-08,0.0,0.0,331653179380679.3,20555670009249.562,6.208217521398493e-08,0.0,0.0,331653179380679.3,20555670009249.562,3.262760645219296e-23,-8.892530665416369e-23,1.2123863175492764e-37
7.992048069451173e-06,2.966145237862255e-06,0.0,-0.26143049511876604,306681571326547.06,21534964664858.39,123958110.63859846,1.7219384717148243e-21,-7.857618014765164e-36,306681571326547.06,21534964664858.39,8.103382184509586e-08,0.0,0.0,306681571326547.06,21534964664858.39,6.810585096438538e-08,0.0,0.0,306681571326547.06,21534964664858.39,3.9759949203755076e-23,-9.67404577068082e-23,1.6875478567420762e-37
7.563557430725066e-06,5.937830226920085e-06,0.0,-0.37388340648585683,303835835510514.94,20554933167334.97,125853057.36260135,1.842601212451062e-21,-6.646632728235106e-36,303835835510514.94,20554933167334.97,7.649407730986632e-08,0.0,0.0,303835835510514.94,20554933167334.97,6.58376855705143e-08,0.0,0.0,303835835510514.94,20554933167334.97,3.165307564648854e-23,-1.0682362112620939e-22,2.549083339205936e-37
-2.4860036520145698e-08,9.377118085121156e-06,0.0,-0.13413636909366616,311473326179852.3,19211343538602.715,138177466.7699617,3.013456386214706e-21,3.48341339877204e-37,311473326179852.3,19211343538602.715,6.859206436249626e-08,0.0,0.0,311473326179852.3,19211343538602.715,6.875950484674363e-08,0.0,0.0,311473326179852.3,19211343538602.715,3.220121480408296e-23,-9.35390221408666e-23,1.0570180842423934e-37
8.845894636774443e-06,5.986803476950265e-06,0.0,0.17791206130639892,329782703294566.7,19003512286402.777,138642588.46205536,1.7403699823437152e-21,-3.598879730342551e-37,329782703294566.7,19003512286402.777,8.930212552235973e-08,0.0,0.0,329782703294566.7,19003512286402.777,5.643994168387448e-08,0.0,0.0,329782703294566.7,19003512286402.777,2.5060952735358155e-23,-1.1415791176090155e-22,1.8240904666815833e-37
7.316501432387185e-06,5.924234744310937e-06,0.0,0.38380923889214563,321613870113771.4,21639210998163.082,130022927.32639676,2.0885794041821436e-21,-7.317501682928618e-36,321613870113771.4,21639210998163.082,8.609841933049578e-08,0.0,0.0,321613870113771.4,21639210998163.082,6.820960844835619e-08,0.0,0.0,321613870113771.4,21639210998163.082,3.80069473907655e-23,-1.284319714460474e-22,1.7862156069221836e-37
1.764967973127995e-07,9.29620747034991e-06,0.0,-0.3563335564509964,316862566685228.4,19196208573262.68,124998772.07069829,3.2290486586185844e-21,-4.7515820599974635e-37,316862566685228.4,19196208573262.68,6.707457044328909e-08,0.0,0.0,316862566685228.4,19196208573262.68,6.481338025665707e-08,0.0,0.0,316862566685228.4,19196208573262.68,3.590623538065452e-23,-9.672306771689873e-23,3.366469132872402e-37
8.588692467465176e-07,9.434445179231698e-06,0.0,-0.18044248314048364,318879475154537.75,20691586005811.984,125743757.84740047,1.916046589443051e-21,-1.254981286009306e-35,318879475154537.75,20691586005811.984,6.655929097832953e-08,0.0,0.0,318879475154537.75,20691586005811.984,7.021839118693325e-08,0.0,0.0,318879475154537.75,20691586005811.984,2.1548446580353687e-23,-1.0569689281318108e-22,1.8125270526128989e-37
1.819019687228535e-06,9.195143088347744e-06,0.0,-0.5392875768002865,297754368674275.56,19988112934918.348,118114769.10912238,9.056037323063782e-22,2.7887507403649837e-37,297754368674275.56,19988112934918.348,8.209197993346941e-08,0.0,0.0,297754368674275.56,19988112934918.348,7.00789269017093e-08,0.0,0.0,297754368674275.56,19988112934918.348,5.153873356811025e-23,-9.9449786589777e-23,2.72061622757819e-37
1.2420208131367026e-06,9.14473836131236e-06,0.0,0.6559818240438745,305302535577904.6,20005438067273.98,120849424.33406258,2.1489804533898506e-21,-1.0755608947356013e-35,305302535577904.6,20005438067273.98,7.373520245160162e-08,0.0,0.0,305302535577904.6,20005438067273.98,5.8403873725902816e-08,0.0,0.0,305302535577904.6,20005438067273.98,2.8516680844270584e-23,-8.281187346495459e-23,9.710998697229774e-38
1.203204112411696e-05,5.910707175660611e-06,0.0,-0.052434719808184,314280472005527.4,19439224732909.63,134382033.38493505,2.3919440157349678e-21,-8.699946015882056e-36,314280472005527.4,19439224732909.63,7.77095320377084e-08,0.0,0.0,314280472005527.4,19439224732909.63,6.828700021773184e-08,0.0,0.0,314280472005527.4,19439224732909.63,4.273783714680911e-23,-8.834601009802824e-23,1.7863421783004024e-37
1.2352220048141485e-05,6.141818770324477e-06,0.0,-0.11070143399438986,349427464621784.2,20820211029053.508,136438759.03530267,1.4471119552804704e-21,-7.165058009979223e-36,349427464621784.2,20820211029053.508,8.65359203533214e-08,0.0,0.0,349427464621784.2,20820211029053.508,8.298822932277444e-08,0.0,0.0,349427464621784.2,20820211029053.508,4.6137399593558334e-23,-8.882194879476924e-23,3.051498662375162e-37
