x,y,z,theta,ee_f0,ee_hw,ee_A,ee_B,ee_C,em_f0,em_hw,em_A,em_B,em_C,me_f0,me_hw,me_A,me_B,me_C,mm_f0,mm_hw,mm_A,mm_B,mm_C
8.734418086644782e-06,8.711247316720799e-06,0.0,-0.2979167902908433,317065131402557.8,20118545545535.035,125218678.67251708,-5.02811670803545e-22,-1.3134667545777606e-35,317065131402557.8,20118545545535.035,8.439551881205492e-08,0.0,0.0,317065131402557.8,20118545545535.035,7.497858580358875e-08,0.0,0.0,317065131402557.8,20118545545535.035,3.5104272867979403e-23,-9.528696026958238e-23,1.846539950394871e-37
8.662141283603824e-06,1.6071433174040206e-05,0.0,-0.12573957141565276,325155402289024.44,19682922788355.254,130201234.01301347,3.3869074874994944e-21,-6.801074152130335e-36,325155402289024.44,19682922788355.254,5.475293110237959e-08,0.0,0.0,325155402289024.44,19682922788355.254,8.018404803790128e-08,0.0,0.0,325155402289024.44,19682922788355.254,4.225984806977689e-23,-7.896917855019364e-23,2.2759437680895485e-37
8.167056441123566e-06,3.1391621023203973e-06,0.0,0.09179288214860075,354435461701511.7,21473111411988.305,136239203.6210154,2.2315877098137625e-21,4.286385086552865e-36,354435461701511.7,21473111411988.305,6.291899968379598e-08,0.0,0.0,354435461701511.7,21473111411988.305,6.57467793121244e-08,0.0,0.0,354435461701511.7,21473111411988.305,3.7826343424201286e-23,-8.877738138378737e-23,2.3403233559451993e-37
7.640193015959652e-06,5.979519015659477e-06,0.0,-0.37891635252676376,332033077669641.6,19860837336535.113,114169113.1206902,1.7450139259425245e-21,-3.9012019370875426e-36,332033077669641.6,19860837336535.113,6.987387975434805e-08,0.0,0.0,332033077669641.6,19860837336535.113,7.25504386401606e-08,0.0,0.0,332033077669641.6,19860837336535.113,3.618117936841437e-23,-8.205244061196955e-23,1.7879545588213598e-37
6.358730041171412e-08,9.230723339294687e-06,0.0,-0.2423190684190908,311521900998460.4,20056193526153.008,125284027.26669596,1.4613270931828506e-21,-5.209608406920546e-36,311521900998460.4,20056193526153.008,7.114748392893894e-08,0.0,0.0,311521900998460.4,20056193526153.008,7.270657181517373e-08,0.0,0.0,311521900998460.4,20056193526153.008,4.636082944528367e-23,-7.522527228120449e-23,1.810619162896455e-37
8.91287235274531e-06,6.007236795311941e-06,0.0,0.09957914855645394,328996269896539.1,19904412957936.1,127291396.72383007,2.044806564925843e-21,-4.062855877377709e-36,328996269896539.1,19904412957936.1,4.9024956507501845e-08,0.0,0.0,328996269896539.1,19904412957936.1,6.093922018212399e-08,0.0,0.0,328996269896539.1,19904412957936.1,1.9465100004248444e-23,-1.018814810148841e-22,1.4731476790296723e-37
7.246283720307796e-06,6.0747852747025075e-06,0.0,0.10739082953138196,314410227462421.0,20563834208169.99,132010380.68357141,1.9944974030036844e-21,-7.185786067609049e-36,314410227462421.0,20563834208169.99,5.2012801486835604e-08,0.0,0.0,314410227462421.0,20563834208169.99,6.861142551169509e-08,0.0,0.0,314410227462421.0,20563834208169.99,3.6104177768300606e-23,-6.685231538909276e-23,1.418606281309725e-37
3.984665246052757e-07,9.34238026198508e-06,0.0,-0.34787109105054614,310506313806268.8,21488258253925.656,126210765.94494662,1.4695857625298099e-21,-6.601930516283502e-36,310506313806268.8,21488258253925.656,8.769235112819867e-08,0.0,0.0,310506313806268.8,21488258253925.656,7.17970153802502e-08,0.0,0.0,310506313806268.8,21488258253925.656,4.9068820276334837e-23,-5.989818336775731e-23,1.5340173081207924e-37
9.335126682652558e-07,9.372063033286879e-06,0.0,-0.08216799258962729,309875876137028.3,20990277533499.895,126083351.66797149,1.90882867244428e-21,2.571270684976867e-36,309875876137028.3,20990277533499.895,6.316943159820977e-08,0.0,0.0,309875876137028.3,20990277533499.895,8.365453415536696e-08,0.0,0.0,309875876137028.3,20990277533499.895,6.089188127519058e-23,-6.258296708754042e-23,2.508240888225296e-37
1.6531041997058e-06,9.202268815658929e-06,0.0,-0.06596516195108358,297139526164907.9,20493678257282.277,136354323.73513395,9.704197067247836e-23,2.3229272685807025e-36,297139526164907.9,20493678257282.277,7.191790179063536e-08,0.0,0.0,297139526164907.9,20493678257282.277,7.164705439324668e-08,0.0,0.0,297139526164907.9,20493678257282.277,3.6920746160380255e-23,-1.0489840948109658e-22,1.6926643572010897e-37
