Frequency_Hz,Absorption_W
150000000000000.0,2.0375773265677114e-16
151004016064257.03,2.082731842452625e-16
152008032128514.06,2.1288790036039663e-16
153012048192771.1,2.1760445081670381e-16
154016064257028.12,2.224254782333553e-16
155020080321285.12,2.273537018911046e-16
156024096385542.16,2.3239192240943987e-16
157028112449799.2,2.3754302711799983e-16
158032128514056.22,2.4280999593426044e-16
159036144578313.25,2.481959075327163e-16
160040160642570.28,2.5370394560179244e-16
161044176706827.3,2.593374050270244e-16
162048192771084.34,2.6509969789933856e-16
163052208835341.38,2.7099435931052033e-16
164056224899598.4,2.770250529505302e-16
165060240963855.44,2.831955765540921e-16
166064257028112.44,2.8950986725241085e-16
167068273092369.47,2.959720068698399e-16
168072289156626.5,3.02586227167853e-16
169076305220883.53,3.0935691498561377e-16
170080321285140.56,3.162886171661045e-16
171084337349397.6,3.233860451013168e-16
172088353413654.62,3.306540786957181e-16
173092369477911.66,3.380977695547205e-16
174096385542168.7,3.457223432772569e-16
175100401606425.7,3.535332008858284e-16
176104417670682.72,3.615359196665701e-16
177108433734939.75,3.697362539882459e-16
178112449799196.78,3.781401369593483e-16
179116465863453.8,3.867536839710923e-16
180120481927710.84,3.955831991615777e-16
181124497991967.88,4.046351855627405e-16
182128514056224.9,4.139163591800487e-16
183132530120481.94,4.2343366662400757e-16
184136546184738.97,4.3319430534368e-16
185140562248996.0,4.4320574517739814e-16
186144578313253.0,4.534757499244949e-16
187148594377510.03,4.64012397930111e-16
188152610441767.06,4.748241011451881e-16
189156626506024.1,4.859196226241221e-16
190160642570281.12,4.973080928242271e-16
191164658634538.16,5.08999025300544e-16
192168674698795.2,5.210023324283472e-16
193172690763052.22,5.333283416490043e-16
194176706827309.25,5.45987812452602e-16
195180722891566.25,5.589919539045169e-16
196184738955823.3,5.723524420212932e-16
197188755020080.3,5.860814357438243e-16
198192771084337.34,6.001915897429395e-16
199196787148594.38,6.146960620178352e-16
200200803212851.4,6.296085145253992e-16
201204819277108.44,6.449431062825138e-16
202208835341365.47,6.607144807633169e-16
203212851405622.5,6.76937752740903e-16
204216867469879.5,6.936285029803929e-16
205220883534136.56,7.108027906178274e-16
206224899598393.56,7.284771909612361e-16
207228915662650.6,7.466688605224191e-16
208232931726907.62,7.653956233050657e-16
209236947791164.66,7.846760662688216e-16
210240963855421.7,8.045296303987118e-16
211244979919678.72,8.249766873395623e-16
212248995983935.75,8.460385979170287e-16
213253012048192.78,8.67737754997871e-16
214257028112449.8,8.900976169179085e-16
215261044176706.8,9.131427386108952e-16
216265060240963.84,9.368988062033958e-16
217269076305220.88,9.613926780163847e-16
218273092369477.9,9.866524310796998e-16
219277108433734.94,1.0127074073862572e-15
220281124497991.97,1.0395882481064578e-15
221285140562249.0,1.0673268976622814e-15
222289156626506.03,1.0959565560958895e-15
223293172690763.06,1.125511564282007e-15
224297188755020.06,1.1560272308453302e-15
225301204819277.12,1.1875396541292928e-15
226305220883534.12,1.2200856384719968e-15
227309236947791.2,1.2537028088904345e-15
228313253012048.2,1.2884299577826454e-15
229317269076305.22,1.3243075377563193e-15
230321285140562.25,1.3613781340530683e-15
231325301204819.28,1.399686774495776e-15
232329317269076.3,1.4392810370456441e-15
233333333333333.3,1.480211010149276e-15
234337349397590.38,1.5225291943289332e-15
235341365461847.38,1.566290409585073e-15
236345381526104.44,1.6115517229850992e-15
237349397590361.44,1.6583723565996034e-15
238353413654618.47,1.7068134877935756e-15
239357429718875.5,1.756937832575244e-15
240361445783132.53,1.808808964685715e-15
241365461847389.56,1.862490534452583e-15
242369477911646.6,1.9180458518179e-15
243373493975903.62,1.975538363237699e-15
244377510040160.62,2.0350330515968443e-15
245381526104417.7,2.096598026394091e-15
246385542168674.7,2.160305387296101e-15
247389558232931.75,2.226231040204398e-15
248393574297188.75,2.2944537706033853e-15
249397590361445.78,2.3650539572606747e-15
250401606425702.8,2.438112039804793e-15
251405622489959.84,2.513706725821102e-15
252409638554216.88,2.5919132404217453e-15
253413654618473.88,2.672802526558983e-15
254417670682730.94,2.756442296650408e-15
255421686746987.94,2.8428994307242566e-15
256425702811245.0,2.9322416266104708e-15
257429718875502.0,3.0245365450607595e-15
258433734939759.03,3.119848560518519e-15
259437751004016.06,3.218234659303435e-15
260441767068273.1,3.319741432147739e-15
261445783132530.12,3.42440449413528e-15
262449799196787.16,3.5322496933231916e-15
263453815261044.2,3.6432934708586596e-15
264457831325301.2,3.757540463512344e-15
265461847389558.25,3.874979488755393e-15
266465863453815.25,3.995580500839442e-15
267469879518072.3,4.1192931514861155e-15
268473895582329.3,4.246045252047777e-15
269477911646586.34,4.375740073646464e-15
270481927710843.38,4.5082533227347954e-15
271485943775100.4,4.6434305027800276e-15
272489959839357.44,4.781084357197804e-15
