frequency,r,t
2.500000e+14,-2.375705e-02+1.067866e-01j,9.762429e-01+1.067866e-01j
2.520408e+14,-2.550944e-02+1.103885e-01j,9.744906e-01+1.103885e-01j
2.540816e+14,-2.744718e-02+1.142154e-01j,9.725528e-01+1.142154e-01j
2.561224e+14,-2.960922e-02+1.182846e-01j,9.703908e-01+1.182846e-01j
2.581633e+14,-3.203917e-02+1.226082e-01j,9.679608e-01+1.226082e-01j
2.602041e+14,-3.478211e-02+1.271914e-01j,9.652179e-01+1.271914e-01j
2.622449e+14,-3.787882e-02+1.320358e-01j,9.621212e-01+1.320358e-01j
2.642857e+14,-4.136220e-02+1.371495e-01j,9.586378e-01+1.371495e-01j
2.663265e+14,-4.526693e-02+1.425632e-01j,9.547331e-01+1.425632e-01j
2.683673e+14,-4.965527e-02+1.483327e-01j,9.503447e-01+1.483327e-01j
2.704082e+14,-5.463850e-02+1.545176e-01j,9.453615e-01+1.545176e-01j
2.724490e+14,-6.037543e-02+1.611523e-01j,9.396246e-01+1.611523e-01j
2.744898e+14,-6.705427e-02+1.682273e-01j,9.329457e-01+1.682273e-01j
2.765306e+14,-7.486912e-02+1.756881e-01j,9.251309e-01+1.756881e-01j
2.785714e+14,-8.399998e-02+1.834559e-01j,9.160000e-01+1.834559e-01j
2.806122e+14,-9.462889e-02+1.914734e-01j,9.053711e-01+1.914734e-01j
2.826531e+14,-1.070244e-01+1.997192e-01j,8.929756e-01+1.997192e-01j
2.846939e+14,-1.216298e-01+2.081092e-01j,8.783702e-01+2.081092e-01j
2.867347e+14,-1.390260e-01+2.163355e-01j,8.609740e-01+2.163355e-01j
2.887755e+14,-1.597797e-01+2.238047e-01j,8.402203e-01+2.238047e-01j
2.908163e+14,-1.843733e-01+2.297094e-01j,8.156267e-01+2.297094e-01j
2.928571e+14,-2.132784e-01+2.329735e-01j,7.867216e-01+2.329735e-01j
2.948980e+14,-2.468291e-01+2.319972e-01j,7.531709e-01+2.319972e-01j
2.969388e+14,-2.848095e-01+2.245690e-01j,7.151905e-01+2.245690e-01j
2.989796e+14,-3.259834e-01+2.080296e-01j,6.740166e-01+2.080296e-01j
3.010204e+14,-3.675698e-01+1.797513e-01j,6.324302e-01+1.797513e-01j
3.030612e+14,-4.049596e-01+1.381661e-01j,5.950404e-01+1.381661e-01j
3.051020e+14,-4.322709e-01+8.415803e-02j,5.677291e-01+8.415803e-02j
3.071429e+14,-4.440955e-01+2.197284e-02j,5.559045e-01+2.197284e-02j
3.091837e+14,-4.377741e-01-4.143236e-02j,5.622259e-01-4.143236e-02j
3.112245e+14,-4.146875e-01-9.862965e-02j,5.853125e-01-9.862965e-02j
3.132653e+14,-3.796303e-01-1.442864e-01j,6.203697e-01-1.442864e-01j
3.153061e+14,-3.386525e-01-1.764971e-01j,6.613475e-01-1.764971e-01j
3.173469e+14,-2.969166e-01-1.962665e-01j,7.030834e-01-1.962665e-01j
3.193878e+14,-2.577578e-01-2.060762e-01j,7.422422e-01-2.060762e-01j
3.214286e+14,-2.228076e-01-2.086658e-01j,7.771924e-01-2.086658e-01j
3.234694e+14,-1.925310e-01-2.063972e-01j,8.074690e-01-2.063972e-01j
3.255102e+14,-1.667427e-01-2.010689e-01j,8.332573e-01-2.010689e-01j
3.275510e+14,-1.449642e-01-1.939537e-01j,8.550358e-01-1.939537e-01j
3.295918e+14,-1.266285e-01-1.859106e-01j,8.733715e-01-1.859106e-01j
3.316327e+14,-1.111836e-01-1.774982e-01j,8.888164e-01-1.774982e-01j
3.336735e+14,-9.813683e-02-1.690667e-01j,9.018632e-01-1.690667e-01j
3.357143e+14,-8.706886e-02-1.608262e-01j,9.129311e-01-1.608262e-01j
3.377551e+14,-7.763289e-02-1.528947e-01j,9.223671e-01-1.528947e-01j
3.397959e+14,-6.954686e-02-1.453324e-01j,9.304531e-01-1.453324e-01j
3.418367e+14,-6.258327e-02-1.381641e-01j,9.374167e-01-1.381641e-01j
3.438776e+14,-5.655833e-02-1.313944e-01j,9.434417e-01-1.313944e-01j
3.459184e+14,-5.132227e-02-1.250163e-01j,9.486777e-01-1.250163e-01j
3.479592e+14,-4.675149e-02-1.190162e-01j,9.532485e-01-1.190162e-01j
3.500000e+14,-4.274281e-02-1.133760e-01j,9.572572e-01-1.133760e-01j
