Frequency_Hz,Absorption_W
150000000000000.0,2.9007229119737586e-17
151004016064257.03,2.9699655252696844e-17
152008032128514.06,3.04075490462529e-17
153012048192771.1,3.113126872213737e-17
154016064257028.12,3.1871181973648416e-17
155020080321285.12,3.262766628002334e-17
156024096385542.16,3.3401109234512675e-17
157028112449799.2,3.4191908886971443e-17
158032128514056.22,3.500047410183776e-17
159036144578313.25,3.582722493252206e-17
160040160642570.28,3.667259301321873e-17
161044176706827.3,3.7537021969337006e-17
162048192771084.34,3.8420967847843855e-17
163052208835341.38,3.9324899568916385e-17
164056224899598.4,4.024929940046921e-17
165060240963855.44,4.119466345730662e-17
166064257028112.44,4.216150222681457e-17
167068273092369.47,4.315034112329622e-17
168072289156626.5,4.416172107339577e-17
169076305220883.53,4.519619913522248e-17
170080321285140.56,4.6254349154127716e-17
171084337349397.6,4.7336762458517416e-17
172088353413654.62,4.8444048599425154e-17
173092369477911.66,4.9576836137994416e-17
174096385542168.7,5.073577348569657e-17
175100401606425.7,5.1921529802563187e-17
176104417670682.72,5.313479595949817e-17
177108433734939.75,5.437628557152617e-17
178112449799196.78,5.564673610969373e-17
179116465863453.8,5.69469101004916e-17
180120481927710.84,5.827759642276953e-17
181124497991967.88,5.963961171355359e-17
182128514056224.9,6.10338018958148e-17
183132530120481.94,6.246104384301609e-17
184136546184738.97,6.392224719740429e-17
185140562248996.0,6.54183563615494e-17
186144578313253.0,6.695035268537227e-17
187148594377510.03,6.851925687424796e-17
188152610441767.06,7.012613164761079e-17
189156626506024.1,7.177208468183844e-17
190160642570281.12,7.345827187636968e-17
191164658634538.16,7.518590098797465e-17
192168674698795.2,7.695623568501819e-17
193172690763052.22,7.877060008159075e-17
194176706827309.25,8.06303838208722e-17
195180722891566.25,8.253704778794724e-17
196184738955823.3,8.449213054520563e-17
197188755020080.3,8.649725559829642e-17
198192771084337.34,8.855413961817904e-17
199196787148594.38,9.066460176523926e-17
200200803212851.4,9.283057428533403e-17
201204819277108.44,9.505411457579299e-17
202208835341365.47,9.733741895218973e-17
203212851405622.5,9.968283838532011e-17
204216867469879.5,1.0209289652304692e-16
205220883534136.56,1.0457031036473649e-16
206224899598393.56,1.0711801401816654e-16
207228915662650.6,1.0973918604183547e-16
208232931726907.62,1.1243728096087869e-16
209236947791164.66,1.1521606564483174e-16
210240963855421.7,1.1807966135202577e-16
211244979919678.72,1.210325923813633e-16
212248995983935.75,1.240798424299022e-16
213253012048192.78,1.2722691993696625e-16
214257028112449.8,1.3047993390488854e-16
215261044176706.8,1.3384568192518022e-16
216265060240963.84,1.373317524079931e-16
217269076305220.88,1.4094664331174134e-16
218273092369477.9,1.4469989999525868e-16
219277108433734.94,1.4860227515862624e-16
220281124497991.97,1.526659141853444e-16
221285140562249.0,1.569045695210842e-16
222289156626506.03,1.6133384797895347e-16
223293172690763.06,1.6597149497936889e-16
224297188755020.06,1.7083771960881465e-16
225301204819277.12,1.7595556385808835e-16
226305220883534.12,1.8135131824487194e-16
227309236947791.2,1.8705498390180358e-16
228313253012048.2,1.9310077764316628e-16
229317269076305.22,1.9952767084813235e-16
230321285140562.25,2.0637994431701032e-16
231325301204819.28,2.137077283875e-16
232329317269076.3,2.2156747905468091e-16
233333333333333.3,2.300223148750034e-16
234337349397590.38,2.391421042229252e-16
235341365461847.38,2.4900314653563813e-16
236345381526104.44,2.5968723427815316e-16
237349397590361.44,2.712798170103494e-16
238353413654618.47,2.838669229034486e-16
239357429718875.5,2.9753044284121266e-16
240361445783132.53,3.1234137725075793e-16
241365461847389.56,3.2835073165262496e-16
242369477911646.6,3.4557798451292716e-16
243373493975903.62,3.639975054689136e-16
244377510040160.62,3.83524014046766e-16
245381526104417.7,4.0399910386514995e-16
246385542168674.7,4.2518184019511863e-16
247389558232931.75,4.467471104780277e-16
248393574297188.75,4.682952641629543e-16
249397590361445.78,4.893751587429679e-16
250401606425702.8,5.095199403216428e-16
251405622489959.84,5.282913111440349e-16
252409638554216.88,5.453249341253188e-16
253413654618473.88,5.603684437548551e-16
254417670682730.94,5.733050880685373e-16
255421686746987.94,5.841598895806217e-16
256425702811245.0,5.930898216830216e-16
257429718875502.0,6.003629379310126e-16
258433734939759.03,6.063322709955626e-16
259437751004016.06,6.114081672489297e-16
260441767068273.1,6.160280175206322e-16
261445783132530.12,6.206167499289185e-16
262449799196787.16,6.255285716336755e-16
263453815261044.2,6.309661507026958e-16
264457831325301.2,6.368934934321103e-16
265461847389558.25,6.42990067677995e-16
266465863453815.25,6.487092876410304e-16
267469879518072.3,6.534599599950677e-16
268473895582329.3,6.568291745933438e-16
269477911646586.34,6.587117994550085e-16
270481927710843.38,6.592860777257924e-16
