Re_px,Im_px,Re_py,Im_py,Re_pz,Im_pz,x,y,z,Re_alpha,Im_alpha,Re_Ex,Im_Ex,Re_Ey,Im_Ey,Re_Ez,Im_Ez
1.921169078e-32,5.026191960e-34,1.595815824e-34,8.793164149e-35,0.000000000e+00,0.000000000e+00,-1.219657841e-09,-1.086818044e-08,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.917900875e-32,5.804614545e-34,3.847180633e-35,7.441414452e-35,0.000000000e+00,0.000000000e+00,6.842899438e-09,2.892481085e-07,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.915740658e-32,6.421318746e-34,-1.598425222e-35,5.260227506e-35,0.000000000e+00,0.000000000e+00,3.326947642e-10,6.074483560e-07,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.907067241e-32,6.707497599e-34,-2.187789187e-35,3.027437421e-35,0.000000000e+00,0.000000000e+00,3.360612265e-10,8.947336279e-07,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.903541480e-32,6.766152182e-34,7.114984994e-37,7.743005479e-36,0.000000000e+00,0.000000000e+00,4.625320436e-09,1.202006994e-06,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.907967806e-32,6.661558502e-34,-1.309982612e-35,-1.121818637e-35,0.000000000e+00,0.000000000e+00,2.124676676e-08,1.503717212e-06,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.903178457e-32,6.277846439e-34,-3.900906696e-35,-2.273669983e-35,0.000000000e+00,0.000000000e+00,1.020962729e-08,1.807834082e-06,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.905418252e-32,5.940684092e-34,-2.238882624e-35,-2.328872341e-35,0.000000000e+00,0.000000000e+00,-1.278418934e-09,2.096631867e-06,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.902908194e-32,5.677477403e-34,-6.296069918e-36,-1.653516393e-35,0.000000000e+00,0.000000000e+00,-6.871548336e-09,2.413084210e-06,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.904033410e-32,5.615778533e-34,-3.228852289e-36,-8.174777456e-36,0.000000000e+00,0.000000000e+00,-9.358418944e-09,2.673276341e-06,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.908223756e-32,5.734930198e-34,-2.945439398e-35,1.254181316e-36,0.000000000e+00,0.000000000e+00,-7.727395372e-09,2.994784344e-06,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.903143993e-32,5.894940439e-34,1.994178763e-35,1.072709788e-35,0.000000000e+00,0.000000000e+00,-2.015288189e-08,3.300503679e-06,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.905689668e-32,6.173717532e-34,3.788831473e-35,1.375000488e-35,0.000000000e+00,0.000000000e+00,-8.946249694e-09,3.599868335e-06,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.910609544e-32,6.395468602e-34,1.443338801e-35,1.003333440e-35,0.000000000e+00,0.000000000e+00,-1.846802691e-09,3.893205455e-06,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.907751828e-32,6.446524845e-34,-1.277134806e-35,2.416439136e-36,0.000000000e+00,0.000000000e+00,-7.373837009e-10,4.208582459e-06,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.901761878e-32,6.356485204e-34,-1.099981222e-35,-3.770483800e-36,0.000000000e+00,-0.000000000e+00,3.769120571e-09,4.492507279e-06,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.907599164e-32,6.233289002e-34,1.138974433e-35,-7.664739938e-36,0.000000000e+00,0.000000000e+00,1.402307019e-08,4.808059005e-06,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.904269771e-32,5.967962600e-34,-3.140535339e-35,-1.166894450e-35,0.000000000e+00,0.000000000e+00,-3.352323458e-09,5.106725692e-06,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.913076226e-32,5.898297447e-34,1.963541386e-35,-7.155900515e-36,0.000000000e+00,0.000000000e+00,1.211523174e-08,5.400464805e-06,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
