Re_px,Im_px,Re_py,Im_py,Re_pz,Im_pz,x,y,z,Re_alpha,Im_alpha,Re_Ex,Im_Ex,Re_Ey,Im_Ey,Re_Ez,Im_Ez
1.892920337e-32,5.718121311e-34,-6.665918639e-35,-4.487037078e-37,0.000000000e+00,0.000000000e+00,-3.942826436e-08,5.996067543e-06,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.899816262e-32,5.962624650e-34,1.116803916e-34,1.247577960e-35,0.000000000e+00,0.000000000e+00,-1.412877129e-08,6.302168118e-06,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.969690983e-32,6.668167777e-34,5.280195988e-35,1.141801569e-35,0.000000000e+00,0.000000000e+00,5.019798944e-08,6.599692722e-06,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.898304068e-32,6.252899033e-34,-1.055668862e-34,2.283957426e-36,0.000000000e+00,0.000000000e+00,-1.216823870e-08,6.890542300e-06,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.905589339e-32,6.319241987e-34,-3.514485547e-35,3.442337831e-36,0.000000000e+00,0.000000000e+00,-1.820879474e-08,7.152110204e-06,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.894871781e-32,6.160781053e-34,1.378328144e-34,7.768444948e-36,0.000000000e+00,0.000000000e+00,-2.964363807e-08,7.523914166e-06,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.914542105e-32,6.329814594e-34,2.051972040e-34,8.993418173e-36,0.000000000e+00,0.000000000e+00,3.314104086e-08,7.760232922e-06,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.891582586e-32,5.844051392e-34,5.463689670e-35,-5.370820362e-37,0.000000000e+00,0.000000000e+00,-2.915246550e-08,8.147087108e-06,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.889505304e-32,5.831158868e-34,2.164556849e-34,7.629062105e-36,0.000000000e+00,0.000000000e+00,4.762162686e-09,8.395142872e-06,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.910491344e-32,5.994445545e-34,1.504471114e-34,5.271329324e-36,0.000000000e+00,0.000000000e+00,4.254519096e-08,8.640190796e-06,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.910642107e-32,5.987072585e-34,5.587557981e-35,2.676341434e-36,0.000000000e+00,0.000000000e+00,1.703868231e-08,8.999575582e-06,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
