Re_px,Im_px,Re_py,Im_py,Re_pz,Im_pz,x,y,z,Re_alpha,Im_alpha,Re_Ex,Im_Ex,Re_Ey,Im_Ey,Re_Ez,Im_Ez
1.910167975e-32,3.823584744e-34,3.006857959e-34,1.757301355e-34,0.000000000e+00,0.000000000e+00,-1.219657841e-08,-1.086818044e-07,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.916881912e-32,5.212607373e-34,-7.873411698e-35,9.701271340e-35,0.000000000e+00,0.000000000e+00,6.842899438e-08,1.924810850e-07,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.860730092e-32,6.317720560e-34,-3.502605034e-34,-1.381348233e-35,0.000000000e+00,0.000000000e+00,3.326947642e-09,6.744835598e-07,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.857553762e-32,6.714446233e-34,-1.271527613e-35,-2.163135655e-35,0.000000000e+00,0.000000000e+00,3.360612265e-09,8.473362794e-07,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.902948527e-32,7.284853119e-34,2.613354041e-34,-2.112829208e-35,0.000000000e+00,0.000000000e+00,4.625320436e-08,1.220069944e-06,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
5.096670379e-32,3.680373192e-33,-1.693757066e-32,-1.491480945e-33,0.000000000e+00,0.000000000e+00,2.124676676e-07,1.537172123e-06,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.980849819e-32,6.659453693e-34,-1.120317272e-33,-3.608935675e-35,0.000000000e+00,0.000000000e+00,1.020962729e-07,1.878340821e-06,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.974417779e-32,6.138608207e-34,-6.101699109e-34,3.635731518e-35,0.000000000e+00,0.000000000e+00,-1.278418934e-08,2.066318672e-06,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.750806895e-32,4.348754915e-34,2.708740103e-33,3.763524291e-34,0.000000000e+00,0.000000000e+00,-6.871548336e-08,2.530842096e-06,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.745029461e-32,4.585442061e-34,2.727247007e-33,3.553297628e-34,0.000000000e+00,0.000000000e+00,-9.358418944e-08,2.432763414e-06,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
