Re_px,Im_px,Re_py,Im_py,Re_pz,Im_pz,x,y,z,Re_alpha,Im_alpha,Re_Ex,Im_Ex,Re_Ey,Im_Ey,Re_Ez,Im_Ez
1.904502997e-32,5.986433061e-34,2.396403677e-36,-1.108607864e-35,0.000000000e+00,0.000000000e+00,0.000000000e+00,5.100000000e-06,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.906983409e-32,5.829136968e-34,5.224204711e-36,-9.090956402e-36,0.000000000e+00,0.000000000e+00,0.000000000e+00,5.400000000e-06,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.908972355e-32,5.774462024e-34,5.640583107e-36,-4.561872170e-36,0.000000000e+00,0.000000000e+00,0.000000000e+00,5.700000000e-06,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.909719036e-32,5.837789577e-34,3.742889992e-36,5.918295589e-37,0.000000000e+00,0.000000000e+00,0.000000000e+00,6.000000000e-06,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.908982213e-32,5.991532123e-34,4.704244719e-37,4.411426027e-36,0.000000000e+00,0.000000000e+00,0.000000000e+00,6.300000000e-06,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.907104431e-32,6.176607560e-34,-2.820208155e-36,5.589710913e-36,0.000000000e+00,0.000000000e+00,0.000000000e+00,6.600000000e-06,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.904860061e-32,6.324645361e-34,-4.891131844e-36,3.895806420e-36,0.000000000e+00,0.000000000e+00,0.000000000e+00,6.900000000e-06,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.903142379e-32,6.382750413e-34,-5.064924683e-36,1.909345450e-37,0.000000000e+00,0.000000000e+00,0.000000000e+00,7.200000000e-06,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.902614144e-32,6.331993099e-34,-3.418549704e-36,-3.948407404e-36,0.000000000e+00,0.000000000e+00,0.000000000e+00,7.500000000e-06,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.903456619e-32,6.193252084e-34,-6.802104860e-37,-6.846335898e-36,0.000000000e+00,0.000000000e+00,0.000000000e+00,7.800000000e-06,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.905310861e-32,6.018676022e-34,2.105979924e-36,-7.351404157e-36,0.000000000e+00,0.000000000e+00,0.000000000e+00,8.100000000e-06,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.907429248e-32,5.872171762e-34,4.001372736e-36,-5.244034149e-36,0.000000000e+00,0.000000000e+00,0.000000000e+00,8.400000000e-06,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.908974199e-32,5.806145914e-34,4.513603654e-36,-1.289086830e-36,0.000000000e+00,0.000000000e+00,0.000000000e+00,8.700000000e-06,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.909345862e-32,5.842899735e-34,3.734063119e-36,3.072909522e-36,0.000000000e+00,0.000000000e+00,0.000000000e+00,9.000000000e-06,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.908411708e-32,5.967239506e-34,2.236421436e-36,6.272404599e-36,0.000000000e+00,0.000000000e+00,0.000000000e+00,9.300000000e-06,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.906551079e-32,6.132723984e-34,7.952810988e-37,7.190064847e-36,0.000000000e+00,0.000000000e+00,0.000000000e+00,9.600000000e-06,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.904500464e-32,6.279041105e-34,4.954034951e-38,5.557441368e-36,0.000000000e+00,0.000000000e+00,0.000000000e+00,9.900000000e-06,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.903062364e-32,6.354059060e-34,2.480300293e-37,2.038031546e-36,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.020000000e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.902792315e-32,6.332526859e-34,1.173516634e-36,-2.033175682e-36,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.050000000e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.903785515e-32,6.224733129e-34,2.264446185e-36,-5.149372124e-36,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.080000000e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.905644497e-32,6.072150669e-34,2.873722026e-36,-6.184018819e-36,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.110000000e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.907638387e-32,5.931831958e-34,2.552004696e-36,-4.793382345e-36,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.140000000e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.908990039e-32,5.855362164e-34,1.238593189e-36,-1.525846778e-36,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.170000000e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.909178551e-32,5.870074579e-34,-7.144800429e-37,2.396329224e-36,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.200000000e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.908139698e-32,5.969327710e-34,-2.688861241e-36,5.537222392e-36,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.230000000e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.906287376e-32,6.115287692e-34,-4.051132617e-36,6.777002812e-36,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.260000000e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.904349050e-32,6.253088092e-34,-4.402920336e-36,5.716129198e-36,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.290000000e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.903080378e-32,6.331114085e-34,-3.727839929e-36,2.807696708e-36,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.320000000e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
