Frequency_Hz,Absorption_W
150000000000000.0,1.176319392359458e-15
151004016064257.03,1.2080018502416172e-15
152008032128514.06,1.2396107392988724e-15
153012048192771.1,1.2704277590932178e-15
154016064257028.12,1.2998909563110528e-15
155020080321285.12,1.3277137584961465e-15
156024096385542.16,1.3539082200202192e-15
157028112449799.2,1.378723667347437e-15
158032128514056.22,1.4025492609026334e-15
159036144578313.25,1.4258269859426165e-15
160040160642570.28,1.4489973968433821e-15
161044176706827.3,1.4724779401931589e-15
162048192771084.34,1.4966630920138023e-15
163052208835341.38,1.521935220926529e-15
164056224899598.4,1.5486787985263628e-15
165060240963855.44,1.5772904225595323e-15
166064257028112.44,1.608167157108979e-15
167068273092369.47,1.6416391269896612e-15
168072289156626.5,1.6778055207479933e-15
169076305220883.53,1.7162681592613445e-15
170080321285140.56,1.755873446608847e-15
171084337349397.6,1.7947392148712656e-15
172088353413654.62,1.83082116662487e-15
173092369477911.66,1.8628241037425847e-15
174096385542168.7,1.890781624669332e-15
175100401606425.7,1.9158792240455758e-15
176104417670682.72,1.9398210460631335e-15
177108433734939.75,1.9642701755472717e-15
178112449799196.78,1.9905569647533724e-15
179116465863453.8,2.0195485314829793e-15
180120481927710.84,2.051533096953166e-15
181124497991967.88,2.0860601255768283e-15
182128514056224.9,2.121827536945674e-15
183132530120481.94,2.156910527801777e-15
184136546184738.97,2.1895682506441027e-15
185140562248996.0,2.2192342450784124e-15
186144578313253.0,2.24681134303114e-15
187148594377510.03,2.2739951119189128e-15
188152610441767.06,2.302236982595178e-15
189156626506024.1,2.332015655982102e-15
190160642570281.12,2.3627163103005297e-15
191164658634538.16,2.3931628960681065e-15
192168674698795.2,2.422512923001254e-15
193172690763052.22,2.450802791392287e-15
194176706827309.25,2.4786373952466047e-15
195180722891566.25,2.5064354913363e-15
196184738955823.3,2.534083248792233e-15
197188755020080.3,2.5612341899763046e-15
198192771084337.34,2.5877068533932585e-15
199196787148594.38,2.613497270877352e-15
200200803212851.4,2.638591424984087e-15
201204819277108.44,2.662921175516609e-15
202208835341365.47,2.6864169688449216e-15
203212851405622.5,2.709018165790053e-15
204216867469879.5,2.730675593686268e-15
205220883534136.56,2.7513814397782266e-15
206224899598393.56,2.77119575643333e-15
207228915662650.6,2.7902439317820126e-15
208232931726907.62,2.8086897676730614e-15
209236947791164.66,2.8267019048318306e-15
210240963855421.7,2.8444240085987356e-15
211244979919678.72,2.8619551968494017e-15
212248995983935.75,2.879345882867696e-15
213253012048192.78,2.8966057510449286e-15
214257028112449.8,2.913716142287146e-15
215261044176706.8,2.9306415309129006e-15
216265060240963.84,2.9473367503156095e-15
217269076305220.88,2.9637488035601663e-15
218273092369477.9,2.9798182471092727e-15
219277108433734.94,2.9954880181679053e-15
220281124497991.97,3.0107151682723944e-15
221285140562249.0,3.0254725167531362e-15
222289156626506.03,3.0397437448968545e-15
223293172690763.06,3.0535222316755334e-15
224297188755020.06,3.066811429549546e-15
225301204819277.12,3.0796233712735243e-15
226305220883534.12,3.091976654238933e-15
227309236947791.2,3.10389528928599e-15
228313253012048.2,3.1154084968141956e-15
229317269076305.22,3.126551000414473e-15
230321285140562.25,3.1373634164559895e-15
231325301204819.28,3.1478925175639343e-15
232329317269076.3,3.1581912481686144e-15
233333333333333.3,3.1683183821459195e-15
234337349397590.38,3.1783376814105408e-15
235341365461847.38,3.1883163878314044e-15
236345381526104.44,3.1983229193217387e-15
237349397590361.44,3.2084238135016623e-15
238353413654618.47,3.218680194738908e-15
239357429718875.5,3.229143661791263e-15
240361445783132.53,3.239849379064605e-15
241365461847389.56,3.250802146341243e-15
242369477911646.6,3.2619555183148135e-15
243373493975903.62,3.2731921221347466e-15
244377510040160.62,3.284313441683102e-15
245381526104417.7,3.2950421775608863e-15
246385542168674.7,3.3050384682651553e-15
247389558232931.75,3.313930600873936e-15
248393574297188.75,3.321357633461672e-15
249397590361445.78,3.327016555242641e-15
250401606425702.8,3.330703336345431e-15
251405622489959.84,3.3323378427666078e-15
252409638554216.88,3.3319674089225778e-15
253413654618473.88,3.329750601148133e-15
254417670682730.94,3.3259280251420967e-15
255421686746987.94,3.32078931689279e-15
256425702811245.0,3.314644037549155e-15
257429718875502.0,3.307800905259156e-15
258433734939759.03,3.3005571381604267e-15
259437751004016.06,3.29319588857733e-15
260441767068273.1,3.2859877334059835e-15
261445783132530.12,3.2791945869437883e-15
262449799196787.16,3.2730754509089385e-15
263453815261044.2,3.2678929332997462e-15
264457831325301.2,3.2639187031915725e-15
265461847389558.25,3.261433316788753e-15
266465863453815.25,3.2607139034999125e-15
267469879518072.3,3.262002640808805e-15
268473895582329.3,3.265446874379198e-15
269477911646586.34,3.271001707942396e-15
270481927710843.38,3.2782976389924235e-15
271485943775100.4,3.2865057279067294e-15
272489959839357.44,3.294276676447163e-15
273493975903614.44,3.2998604231263432e-15
274497991967871.5,3.3014698823700644e-15
275502008032128.5,3.2978003982334446e-15
276506024096385.56,3.2884508099459132e-15
277510040160642.56,3.2740034762248715e-15
278514056224899.6,3.2557448164381008e-15
279518072289156.62,3.2352296498426897e-15
280522088353413.66,3.2139184879434982e-15
281526104417670.7,3.192990679414181e-15
282530120481927.7,3.1733107486690762e-15
283534136546184.75,3.155475766211885e-15
284538152610441.75,3.1398802413309306e-15
285542168674698.8,3.1267603070850673e-15
286546184738955.8,3.1161978569667194e-15
287550200803212.9,3.1080764494371943e-15
288554216867469.9,3.1019942664968483e-15
289558232931726.9,3.097166955681756e-15
290562248995983.94,3.092396034172326e-15
291566265060241.0,3.086206782474402e-15
292570281124498.0,3.077207293775778e-15
293574297188755.0,3.0645565657859375e-15
294578313253012.06,3.0482757548419528e-15
295582329317269.06,3.0291980206059256e-15
296586345381526.1,3.0086145351857446e-15
297590361445783.1,2.987860252674902e-15
298594377510040.1,2.9680324619644023e-15
299598393574297.2,2.949874714449916e-15
300602409638554.25,2.9337583356636108e-15
301606425702811.25,2.919686744011614e-15
302610441767068.25,2.9072896904689435e-15
303614457831325.3,2.895830237220745e-15
304618473895582.4,2.884293413100271e-15
305622489959839.4,2.8716197890542863e-15
306626506024096.4,2.857050345669827e-15
307630522088353.4,2.8404131353296647e-15
308634538152610.44,2.8221641823080225e-15
309638554216867.5,2.8031599194449e-15
310642570281124.5,2.7843183725711495e-15
311646586345381.5,2.766341461256244e-15
312650602409638.56,2.7495637812955717e-15
313654618473895.6,2.73391066751707e-15
314658634538152.6,2.718945554569122e-15
315662650602409.6,2.7040161386881046e-15
316666666666666.6,2.6884968568789842e-15
317670682730923.7,2.672048054339396e-15
318674698795180.75,2.654748427810634e-15
319678714859437.75,2.6370144683101205e-15
320682730923694.75,2.6193668539888183e-15
321686746987951.8,2.602187883617665e-15
322690763052208.9,2.585579644615578e-15
323694779116465.9,2.5693602102136476e-15
324698795180722.9,2.5531866273904373e-15
325702811244979.9,2.5367503455520476e-15
326706827309236.94,2.519942099555236e-15
327710843373494.0,2.5028846269528434e-15
328714859437751.0,2.4858201723182746e-15
329718875502008.0,2.468943405688315e-15
330722891566265.06,2.4522938058866205e-15
331726907630522.1,2.4357649247724257e-15
332730923694779.1,2.4192080457045755e-15
333734939759036.1,2.4025474636951034e-15
334738955823293.2,2.3858206140102277e-15
