frequency,r,t
2.500000e+14,-2.438963e-02+1.080824e-01j,9.756104e-01+1.080824e-01j
2.520408e+14,-2.621062e-02+1.117702e-01j,9.737894e-01+1.117702e-01j
2.540816e+14,-2.822859e-02+1.156908e-01j,9.717714e-01+1.156908e-01j
2.561224e+14,-3.048395e-02+1.198614e-01j,9.695161e-01+1.198614e-01j
2.581633e+14,-3.302207e-02+1.242945e-01j,9.669779e-01+1.242945e-01j
2.602041e+14,-3.589110e-02+1.289967e-01j,9.641089e-01+1.289967e-01j
2.622449e+14,-3.913611e-02+1.339691e-01j,9.608639e-01+1.339691e-01j
2.642857e+14,-4.279348e-02+1.392183e-01j,9.572065e-01+1.392183e-01j
2.663265e+14,-4.689974e-02+1.447751e-01j,9.531003e-01+1.447751e-01j
2.683673e+14,-5.152187e-02+1.506989e-01j,9.484781e-01+1.506989e-01j
2.704082e+14,-5.678239e-02+1.570519e-01j,9.432176e-01+1.570519e-01j
2.724490e+14,-6.285377e-02+1.638648e-01j,9.371462e-01+1.638648e-01j
2.744898e+14,-6.993720e-02+1.711224e-01j,9.300628e-01+1.711224e-01j
2.765306e+14,-7.824253e-02+1.787629e-01j,9.217575e-01+1.787629e-01j
2.785714e+14,-8.797024e-02+1.866942e-01j,9.120298e-01+1.866942e-01j
2.806122e+14,-9.932232e-02+1.948377e-01j,9.006777e-01+1.948377e-01j
2.826531e+14,-1.125883e-01+2.031472e-01j,8.874117e-01+2.031472e-01j
2.846939e+14,-1.282442e-01+2.115037e-01j,8.717558e-01+2.115037e-01j
2.867347e+14,-1.469092e-01+2.195348e-01j,8.530908e-01+2.195348e-01j
2.887755e+14,-1.691808e-01+2.265436e-01j,8.308192e-01+2.265436e-01j
2.908163e+14,-1.955415e-01+2.315649e-01j,8.044585e-01+2.315649e-01j
2.928571e+14,-2.263908e-01+2.333164e-01j,7.736092e-01+2.333164e-01j
2.948980e+14,-2.618825e-01+2.299572e-01j,7.381175e-01+2.299572e-01j
2.969388e+14,-3.014325e-01+2.190319e-01j,6.985675e-01+2.190319e-01j
2.989796e+14,-3.431595e-01+1.977858e-01j,6.568405e-01+1.977858e-01j
3.010204e+14,-3.834036e-01+1.639282e-01j,6.165964e-01+1.639282e-01j
3.030612e+14,-4.168053e-01+1.169754e-01j,5.831947e-01+1.169754e-01j
3.051020e+14,-4.376398e-01+5.953591e-02j,5.623602e-01+5.953591e-02j
3.071429e+14,-4.420573e-01-2.840544e-03j,5.579427e-01-2.840544e-03j
3.091837e+14,-4.294069e-01-6.346054e-02j,5.705931e-01-6.346054e-02j
3.112245e+14,-4.020930e-01-1.162228e-01j,5.979070e-01-1.162228e-01j
3.132653e+14,-3.649378e-01-1.570168e-01j,6.350622e-01-1.570168e-01j
3.153061e+14,-3.235895e-01-1.847481e-01j,6.764105e-01-1.847481e-01j
3.173469e+14,-2.826505e-01-2.008595e-01j,7.173495e-01-2.008595e-01j
3.193878e+14,-2.449137e-01-2.079466e-01j,7.550863e-01-2.079466e-01j
3.214286e+14,-2.116047e-01-2.086543e-01j,7.883953e-01-2.086543e-01j
3.234694e+14,-1.829423e-01-2.051665e-01j,8.170577e-01-2.051665e-01j
3.255102e+14,-1.586193e-01-1.991004e-01j,8.413807e-01-1.991004e-01j
3.275510e+14,-1.381132e-01-1.915791e-01j,8.618868e-01-1.915791e-01j
3.295918e+14,-1.208553e-01-1.833501e-01j,8.791447e-01-1.833501e-01j
3.316327e+14,-1.063109e-01-1.748932e-01j,8.936891e-01-1.748932e-01j
3.336735e+14,-9.401137e-02-1.665051e-01j,9.059886e-01-1.665051e-01j
3.357143e+14,-8.356191e-02-1.583600e-01j,9.164381e-01-1.583600e-01j
3.377551e+14,-7.463798e-02-1.505528e-01j,9.253620e-01-1.505528e-01j
3.397959e+14,-6.697682e-02-1.431282e-01j,9.330232e-01-1.431282e-01j
3.418367e+14,-6.036704e-02-1.361017e-01j,9.396330e-01-1.361017e-01j
3.438776e+14,-5.463816e-02-1.294720e-01j,9.453618e-01-1.294720e-01j
3.459184e+14,-4.965121e-02-1.232288e-01j,9.503488e-01-1.232288e-01j
3.479592e+14,-4.529117e-02-1.173568e-01j,9.547088e-01-1.173568e-01j
3.500000e+14,-4.146163e-02-1.118371e-01j,9.585384e-01-1.118371e-01j
