frequency	reflection	transmission	perturbation
250.00	-0.023493+0.10904i	0.97522+0.10860i	1.0000E-7
252.00	-0.025389+0.11281i	0.97327+0.11235i	1.0000E-7
254.00	-0.027497+0.11683i	0.97110+0.11634i	1.0000E-7
256.00	-0.029852+0.12110i	0.96869+0.12058i	1.0000E-7
258.00	-0.032495+0.12566i	0.96598+0.12510i	1.0000E-7
260.00	-0.035476+0.13053i	0.96292+0.12993i	1.0000E-7
262.00	-0.038855+0.13574i	0.95947+0.13509i	1.0000E-7
264.00	-0.042706+0.14131i	0.95554+0.14061i	1.0000E-7
266.00	-0.047118+0.14727i	0.95104+0.14651i	1.0000E-7
268.00	-0.052204+0.15364i	0.94586+0.15281i	1.0000E-7
270.00	-0.058101+0.16045i	0.93986+0.15954i	1.0000E-7
272.00	-0.064979+0.16771i	0.93287+0.16670i	1.0000E-7
274.00	-0.073053+0.17541i	0.92468+0.17429i	1.0000E-7
276.00	-0.082587+0.18350i	0.91503+0.18225i	1.0000E-7
278.00	-0.093909+0.19192i	0.90358+0.19051i	1.0000E-7
280.00	-0.10741+0.20049i	0.88995+0.19889i	1.0000E-7
282.00	-0.12356+0.20893i	0.87367+0.20711i	1.0000E-7
284.00	-0.14291+0.21679i	0.85420+0.21469i	1.0000E-7
286.00	-0.16603+0.22332i	0.83097+0.22089i	1.0000E-7
288.00	-0.19348+0.22735i	0.80345+0.22454i	1.0000E-7
290.00	-0.22550+0.22720i	0.77141+0.22392i	1.0000E-7
292.00	-0.26173+0.22053i	0.73525+0.21674i	1.0000E-7
294.00	-0.30048+0.20466i	0.69671+0.20030i	1.0000E-7
296.00	-0.33810+0.17736i	0.65945+0.17245i	1.0000E-7
298.00	-0.36916+0.13873i	0.62892+0.13335i	1.0000E-7
300.00	-0.38860+0.092895i	0.61012+0.087211i	1.0000E-7
302.00	-0.39581+0.046736i	0.60356+0.040915i	1.0000E-7
304.00	-0.39553+0.0042786i	0.60445-0.0015735i	1.0000E-7
306.00	-0.39165-0.036769i	0.60892-0.042600i	1.0000E-7
308.00	-0.38194-0.079400i	0.61925-0.085125i	1.0000E-7
310.00	-0.36232-0.12115i	0.63950-0.12662i	1.0000E-7
312.00	-0.33292-0.15644i	0.66942-0.16151i	1.0000E-7
314.00	-0.29786-0.18171i	0.70487-0.18629i	1.0000E-7
316.00	-0.26176-0.19682i	0.74121-0.20089i	1.0000E-7
318.00	-0.22777-0.20359i	0.77532-0.20717i	1.0000E-7
320.00	-0.19742-0.20433i	0.80570-0.20748i	1.0000E-7
322.00	-0.17112-0.20107i	0.83196-0.20383i	1.0000E-7
324.00	-0.14870-0.19532i	0.85431-0.19775i	1.0000E-7
326.00	-0.12973-0.18814i	0.87319-0.19030i	1.0000E-7
328.00	-0.11371-0.18023i	0.88910-0.18215i	1.0000E-7
330.00	-0.10018-0.17204i	0.90253-0.17377i	1.0000E-7
332.00	-0.088716-0.16387i	0.91387-0.16543i	1.0000E-7
334.00	-0.078976-0.15588i	0.92350-0.15729i	1.0000E-7
336.00	-0.070666-0.14816i	0.93170-0.14945i	1.0000E-7
338.00	-0.063545-0.14078i	0.93872-0.14197i	1.0000E-7
340.00	-0.057416-0.13377i	0.94475-0.13486i	1.0000E-7
342.00	-0.052117-0.12714i	0.94995-0.12816i	1.0000E-7
344.00	-0.047513-0.12090i	0.95447-0.12185i	1.0000E-7
346.00	-0.043494-0.11504i	0.95840-0.11592i	1.0000E-7
348.00	-0.039966-0.10953i	0.96185-0.11036i	1.0000E-7
350.00	-0.036856-0.10436i	0.96489-0.10514i	1.0000E-7
