Frequency_Hz,Absorption_W
100000000000000.0,1.634717190396101e-15
101003344481605.34,1.6764793772741912e-15
102006688963210.7,1.7185901098163216e-15
103010033444816.05,1.7611647194908687e-15
104013377926421.4,1.8043411121279245e-15
105016722408026.75,1.8482805727675477e-15
106020066889632.11,1.8931696759936224e-15
107023411371237.45,1.9392231753656e-15
108026755852842.81,1.9866875073707436e-15
109030100334448.16,2.035844248708137e-15
110033444816053.52,2.087012486486386e-15
111036789297658.86,2.140548579931664e-15
112040133779264.22,2.1968412191942375e-15
113043478260869.56,2.2562991027816334e-15
114046822742474.92,2.3193281730903047e-15
115050167224080.27,2.386295576941242e-15
116053511705685.62,2.457478967839453e-15
117056856187290.97,2.533003113196032e-15
118060200668896.31,2.612771321996105e-15
119063545150501.67,2.6964061778214406e-15
120066889632107.03,2.783219856217194e-15
121070234113712.38,2.8722346940363323e-15
122073578595317.72,2.9622657758216167e-15
123076923076923.08,3.0520591063253872e-15
124080267558528.44,3.140457844462597e-15
125083612040133.78,3.2265558344274196e-15
126086956521739.12,3.309800518427383e-15
127090301003344.48,3.390025514287664e-15
128093645484949.83,3.467417202406353e-15
129096989966555.19,3.5424382668671868e-15
130100334448160.53,3.615738218670754e-15
131103678929765.89,3.688077392178753e-15
132107023411371.23,3.760281428362815e-15
133110367892976.6,3.833232534108467e-15
134113712374581.94,3.9078949050969924e-15
135117056856187.28,3.985366053516088e-15
136120401337792.64,4.06694318974394e-15
137123745819398.0,4.154192075705082e-15
138127090301003.34,4.2490008224036135e-15
139130434782608.69,4.3535880698173126e-15
140133779264214.05,4.470410348572197e-15
141137123745819.4,4.6018800875015566e-15
142140468227424.75,4.749785019318565e-15
143143812709030.1,4.9143492698046276e-15
144147157190635.44,5.093086642010261e-15
145150501672240.8,5.279993901811815e-15
146153846153846.16,5.4659586755934605e-15
147157190635451.5,5.640923940852455e-15
148160535117056.88,5.797116740161841e-15
149163879598662.22,5.931517317928625e-15
150167224080267.56,6.0461444515945735e-15
151170568561872.9,6.14638310517302e-15
152173913043478.25,6.238726854250023e-15
153177257525083.62,6.329153519684415e-15
154180602006688.97,6.422589003846549e-15
155183946488294.3,6.523273606699012e-15
156187290969899.66,6.6354940198746525e-15
157190635451505.0,6.76409614659578e-15
158193979933110.38,6.914367997541846e-15
159197324414715.72,7.090980982453027e-15
160200668896321.06,7.295639031482149e-15
161204013377926.44,7.523507359541981e-15
162207357859531.78,7.760237646682251e-15
163210702341137.12,7.98373299909856e-15
164214046822742.47,8.173280640636698e-15
165217391304347.8,8.320741203390616e-15
166220735785953.2,8.43383961874046e-15
167224080267558.53,8.529651985230729e-15
168227424749163.88,8.625831926230762e-15
169230769230769.25,8.735922921298092e-15
170234113712374.56,8.868997602581969e-15
171237458193979.94,9.030370680630669e-15
172240802675585.28,9.220162299910527e-15
173244147157190.62,9.429565087875553e-15
174247491638796.0,9.63944842183882e-15
175250836120401.34,9.82765489980141e-15
176254180602006.7,9.983166759213917e-15
177257525083612.06,1.0113785224442207e-14
178260869565217.38,1.0239239141179647e-14
179264214046822.75,1.0377778780542832e-14
180267558528428.1,1.0537118289383418e-14
181270903010033.44,1.0712490046318284e-14
182274247491638.8,1.089014327234818e-14
183277591973244.12,1.1055785047998359e-14
184280936454849.5,1.120507139733246e-14
185284280936454.84,1.1346597410075809e-14
186287625418060.2,1.1492798218294558e-14
