Frequency_Hz,Absorption_W
150000000000000.0,1.344891358185989e-16
151004016064257.03,1.3744655455017549e-16
152008032128514.06,1.4046362040079733e-16
153012048192771.1,1.4354196776194928e-16
154016064257028.12,1.4668332310691952e-16
155020080321285.12,1.4988950980808089e-16
156024096385542.16,1.5316245311579107e-16
157028112449799.2,1.56504185313503e-16
158032128514056.22,1.5991685106431518e-16
159036144578313.25,1.6340271296443758e-16
160040160642570.28,1.6696415731900705e-16
161044176706827.3,1.7060370015517678e-16
162048192771084.34,1.743239934864503e-16
163052208835341.38,1.7812783184071243e-16
164056224899598.4,1.8201815906223197e-16
165060240963855.44,1.8599807539505357e-16
166064257028112.44,1.9007084485146493e-16
167068273092369.47,1.942399028645755e-16
168072289156626.5,1.9850886421830203e-16
169076305220883.53,2.0288153124115187e-16
170080321285140.56,2.0736190224188105e-16
171084337349397.6,2.1195418015536345e-16
172088353413654.62,2.1666278135555987e-16
173092369477911.66,2.2149234457927876e-16
174096385542168.7,2.264477398892767e-16
175100401606425.7,2.3153407758804944e-16
176104417670682.72,2.367567169743988e-16
177108433734939.75,2.421212748133753e-16
178112449799196.78,2.4763363336673023e-16
179116465863453.8,2.532999478054668e-16
180120481927710.84,2.5912665279898725e-16
181124497991967.88,2.6512046804693316e-16
182128514056224.9,2.712884024908078e-16
183132530120481.94,2.7763775691379083e-16
184136546184738.97,2.841761246098015e-16
185140562248996.0,2.9091138977849853e-16
186144578313253.0,2.9785172328313825e-16
187148594377510.03,3.050055753955147e-16
188152610441767.06,3.1238166514883173e-16
189156626506024.1,3.1998896592869033e-16
190160642570281.12,3.2783668695727895e-16
191164658634538.16,3.359342503702062e-16
192168674698795.2,3.442912636526186e-16
193172690763052.22,3.5291748729475805e-16
194176706827309.25,3.6182279765027625e-16
195180722891566.25,3.710171451351723e-16
196184738955823.3,3.805105080930444e-16
197188755020080.3,3.903128428721352e-16
198192771084337.34,4.004340309092552e-16
199196787148594.38,4.1088382388972535e-16
200200803212851.4,4.216717883425247e-16
201204819277108.44,4.3280725132480514e-16
202208835341365.47,4.442992491344746e-16
203212851405622.5,4.561564812477349e-16
204216867469879.5,4.683872718881091e-16
205220883534136.56,4.80999541776955e-16
206224899598393.56,4.940007926700545e-16
207228915662650.6,5.073981072347344e-16
208232931726907.62,5.211981666533171e-16
209236947791164.66,5.354072880456064e-16
210240963855421.7,5.500314833884002e-16
211244979919678.72,5.650765410864262e-16
212248995983935.75,5.8054813074060005e-16
213253012048192.78,5.964519310008213e-16
214257028112449.8,6.127937797255187e-16
215261044176706.8,6.295798450492516e-16
216265060240963.84,6.468168154382241e-16
217269076305220.88,6.645121064447172e-16
218273092369477.9,6.826740817069099e-16
219277108433734.94,7.013122858236422e-16
220281124497991.97,7.204376870992606e-16
221285140562249.0,7.400629288277808e-16
222289156626506.03,7.602025887854278e-16
223293172690763.06,7.808734479382496e-16
224297188755020.06,8.02094771058102e-16
225301204819277.12,8.23888603990036e-16
226305220883534.12,8.462800947502839e-16
227309236947791.2,8.692978484918384e-16
228313253012048.2,8.929743297020879e-16
229317269076305.22,9.173463288523855e-16
230321285140562.25,9.424555151596977e-16
231325301204819.28,9.683491021780369e-16
232329317269076.3,9.950806585806965e-16
233333333333333.3,1.0227111025552463e-15
234337349397590.38,1.0513099242918628e-15
235341365461847.38,1.0809566862408194e-15
236345381526104.44,1.1117428535449623e-15
237349397590361.44,1.143774004509422e-15
238353413654618.47,1.1771724584397352e-15
239357429718875.5,1.2120803280219373e-15
240361445783132.53,1.2486629437115932e-15
241365461847389.56,1.2871124905069747e-15
242369477911646.6,1.3276515178690168e-15
243373493975903.62,1.3705356991259531e-15
244377510040160.62,1.4160547926747263e-15
245381526104417.7,1.4645301712273354e-15
246385542168674.7,1.5163065613909334e-15
247389558232931.75,1.5717349093216052e-15
248393574297188.75,1.6311429039760293e-15
249397590361445.78,1.6947903056472568e-15
250401606425702.8,1.7628088181700093e-15
251405622489959.84,1.8351317816920904e-15
252409638554216.88,1.911427523358565e-15
253413654618473.88,1.9910595323171595e-15
254417670682730.94,2.073101179205979e-15
255421686746987.94,2.1564252486968695e-15
256425702811245.0,2.2398657588319548e-15
257429718875502.0,2.322418545752937e-15
258433734939759.03,2.4034252431013228e-15
259437751004016.06,2.4826884234019765e-15
260441767068273.1,2.5604936396377492e-15
261445783132530.12,2.637549249272987e-15
262449799196787.16,2.7148764589539415e-15
263453815261044.2,2.79368143302447e-15
264457831325301.2,2.8752245235896384e-15
265461847389558.25,2.960680809927286e-15
266465863453815.25,3.0509720584837012e-15
267469879518072.3,3.146554566775173e-15
268473895582329.3,3.2471892058903533e-15
269477911646586.34,3.3518087576577853e-15
270481927710843.38,3.458670443118731e-15
271485943775100.4,3.565886182911352e-15
272489959839357.44,3.672111745283372e-15
273493975903614.44,3.7769303976584584e-15
274497991967871.5,3.88063858228027e-15
275502008032128.5,3.983623440413625e-15
276506024096385.56,4.08583569588236e-15
277510040160642.56,4.1867162392553084e-15
278514056224899.6,4.285493874514806e-15
279518072289156.62,4.381496795738322e-15
280522088353413.66,4.474266742877322e-15
281526104417670.7,4.563542230054187e-15
282530120481927.7,4.649231996327233e-15
283534136546184.75,4.731401236895402e-15
284538152610441.75,4.810240838726977e-15
285542168674698.8,4.886008181952337e-15
286546184738955.8,4.958962432409652e-15
287550200803212.9,5.029327726467675e-15
288554216867469.9,5.097293199015212e-15
289558232931726.9,5.163030348833662e-15
290562248995983.94,5.226705314732797e-15
291566265060241.0,5.288476361857981e-15
292570281124498.0,5.34847518956974e-15
293574297188755.0,5.406770823155734e-15
294578313253012.06,5.463311970384177e-15
295582329317269.06,5.517842133120381e-15
296586345381526.1,5.56978548203354e-15
297590361445783.1,5.618116814758633e-15
298594377510040.1,5.66125909347441e-15
299598393574297.2,5.697083694494761e-15
300602409638554.25,5.723090513912368e-15
301606425702811.25,5.736793226628282e-15
302610441767068.25,5.7362380846310796e-15
303614457831325.3,5.7204917008274674e-15
304618473895582.4,5.689912301929513e-15
305622489959839.4,5.646100593671466e-15
306626506024096.4,5.591561040477154e-15
307630522088353.4,5.529199875931332e-15
308634538152610.44,5.461794947726642e-15
309638554216867.5,5.391526008559481e-15
310642570281124.5,5.3196181194137554e-15
311646586345381.5,5.246166248101006e-15
312650602409638.56,5.1702514473202565e-15
313654618473895.6,5.090428558756509e-15
314658634538152.6,5.005473927640354e-15
315662650602409.6,4.915027320015582e-15
316666666666666.6,4.819737059936389e-15
317670682730923.7,4.720849070596674e-15
318674698795180.75,4.619576337348914e-15
319678714859437.75,4.5166801072306445e-15
320682730923694.75,4.412463796885218e-15
321686746987951.8,4.30705488074486e-15
322690763052208.9,4.200673933842159e-15
323694779116465.9,4.093689597355847e-15
324698795180722.9,3.986511901949102e-15
325702811244979.9,3.879501951364375e-15
326706827309236.94,3.7729778519152206e-15
327710843373494.0,3.667261319690902e-15
328714859437751.0,3.562701223134219e-15
329718875502008.0,3.4596725639882433e-15
330722891566265.06,3.3585685354415317e-15
331726907630522.1,3.2597847726013886e-15
332730923694779.1,3.1636904361904777e-15
333734939759036.1,3.070592200594798e-15
334738955823293.2,2.9807048754718366e-15
335742971887550.2,2.894139823653542e-15
336746987951807.25,2.8109130793641343e-15
337751004016064.25,2.730966491515712e-15
338755020080321.25,2.6541925853681947e-15
339759036144578.3,2.5804564052910076e-15
340763052208835.4,2.509611583173201e-15
341767068273092.4,2.4415106978885838e-15
342771084337349.4,2.3760112011095702e-15
343775100401606.44,2.312978345905991e-15
344779116465863.5,2.252286278644412e-15
345783132530120.5,2.193818098065932e-15
346787148594377.5,2.137465388778201e-15
347791164658634.5,2.083127528100419e-15
348795180722891.56,2.0307109318490573e-15
349799196787148.6,1.980128324257512e-15
350803212851405.6,1.9312980709803332e-15
351807228915662.6,1.8841435887355858e-15
352811244979919.7,1.8385928319339975e-15
353815261044176.75,1.794577850394767e-15
354819277108433.75,1.7520344097868685e-15
355823293172690.75,1.7109016659669933e-15
356827309236947.75,1.6711218848972064e-15
357831325301204.8,1.6326402007399525e-15
358835341365461.9,1.5954044057683916e-15
359839357429718.9,1.5593647667342339e-15
360843373493975.9,1.5244738632253633e-15
361847389558232.94,1.4906864443531313e-15
362851405622490.0,1.4579593007524158e-15
363855421686747.0,1.4262511494209379e-15
364859437751004.0,1.3955225294013733e-15
365863453815261.0,1.3657357066490439e-15
366867469879518.06,1.3368545867492338e-15
367871485943775.1,1.3088446343741603e-15
368875502008032.1,1.2816727985797866e-15
369879518072289.1,1.2553074431908275e-15
370883534136546.2,1.2297182816550705e-15
371887550200803.25,1.2048763158527944e-15
372891566265060.25,1.1807537784285715e-15
373895582329317.25,1.1573240782846893e-15
374899598393574.3,1.1345617489283795e-15
375903614457831.3,1.1124423994142019e-15
376907630522088.4,1.0909426676578332e-15
377911646586345.4,1.0700401759314044e-15
378915662650602.4,1.0497134883751676e-15
379919678714859.44,1.0299420703823084e-15
380923694779116.5,1.0107062497325189e-15
381927710843373.5,9.91987179365096e-16
382931726907630.5,9.73766801695125e-16
383935742971887.56,9.560278143887398e-16
384939759036144.6,9.387536375210096e-16
385943775100401.6,9.219283820504162e-16
386947791164658.6,9.05536819549078e-16
387951807228915.6,8.895643531350447e-16
388955823293172.7,8.739969895576789e-16
389959839357429.75,8.588213123912092e-16
390963855421686.75,8.440244562963757e-16
391967871485943.75,8.29594082312069e-16
392971887550200.8,8.155183541419726e-16
393975903614457.9,8.017859154040941e-16
394979919678714.9,7.883858678116378e-16
395983935742971.9,7.753077502567283e-16
396987951807228.9,7.625415187683809e-16
397991967871485.94,7.500775273180236e-16
398995983935743.0,7.379065094465697e-16
400000000000000.0,7.26019560687152e-16
