File,Frequency_THz,Scattering_W,Absorption_W,Extinction_W
cdm_input_0.csv,150.83612040133778,4.621499742487683e-16,,
cdm_input_0.csv,151.6722408026756,4.72010848228665e-16,,
cdm_input_0.csv,152.50836120401337,4.82198078550301e-16,,
cdm_input_0.csv,153.34448160535115,4.927514756495802e-16,,
cdm_input_0.csv,154.18060200668896,5.037041379213331e-16,,
cdm_input_0.csv,155.01672240802674,5.150799202987946e-16,,
cdm_input_0.csv,155.85284280936455,5.268918579581051e-16,,
cdm_input_0.csv,156.68896321070235,5.39141794493158e-16,,
cdm_input_0.csv,157.52508361204013,5.51821339282444e-16,,
cdm_input_0.csv,158.36120401337794,5.64914129847096e-16,,
cdm_input_0.csv,159.19732441471572,5.783992237419686e-16,,
cdm_input_0.csv,160.0334448160535,5.92255313288417e-16,,
cdm_input_0.csv,160.8695652173913,6.064653625587206e-16,,
cdm_input_0.csv,161.7056856187291,6.21021218127897e-16,,
cdm_input_0.csv,162.54180602006687,6.359277427089197e-16,,
cdm_input_0.csv,163.37792642140468,6.51206056659596e-16,,
cdm_input_0.csv,164.21404682274246,6.668955367962159e-16,,
cdm_input_0.csv,165.05016722408027,6.830543070323863e-16,,
cdm_input_0.csv,165.88628762541805,6.997580574837949e-16,,
cdm_input_0.csv,166.72240802675583,7.170971485724823e-16,,
cdm_input_0.csv,167.55852842809367,7.351720967204118e-16,,
cdm_input_0.csv,168.39464882943145,7.540876980140112e-16,,
cdm_input_0.csv,169.23076923076923,7.739462177534734e-16,,
cdm_input_0.csv,170.06688963210703,7.948402385004449e-16,,
cdm_input_0.csv,170.90301003344482,8.168458885941828e-16,,
cdm_input_0.csv,171.73913043478262,8.400172340136484e-16,,
cdm_input_0.csv,172.5752508361204,8.643825806221983e-16,,
cdm_input_0.csv,173.41137123745818,8.899432884789738e-16,,
cdm_input_0.csv,174.247491638796,9.166754556352616e-16,,
cdm_input_0.csv,175.08361204013377,9.445345205375493e-16,,
cdm_input_0.csv,175.91973244147155,9.734625113483327e-16,,
cdm_input_0.csv,176.75585284280936,1.0033973911326092e-15,,
cdm_input_0.csv,177.59197324414714,1.0342837508090751e-15,,
cdm_input_0.csv,178.42809364548492,1.0660840039866068e-15,,
cdm_input_0.csv,179.26421404682276,1.0987892303423226e-15,,
cdm_input_0.csv,180.10033444816054,1.1324288693536574e-15,,
cdm_input_0.csv,180.93645484949832,1.167078550723902e-15,,
cdm_input_0.csv,181.77257525083613,1.2028654371674415e-15,,
cdm_input_0.csv,182.6086956521739,1.2399705439488632e-15,,
cdm_input_0.csv,183.44481605351172,1.2786276049524907e-15,,
cdm_input_0.csv,184.2809364548495,1.3191182119703152e-15,,
cdm_input_0.csv,185.11705685618728,1.3617632015316536e-15,,
cdm_input_0.csv,185.95317725752508,1.4069106262788549e-15,,
cdm_input_0.csv,186.78929765886286,1.4549211149565103e-15,,
cdm_input_0.csv,187.62541806020067,1.5061519375854998e-15,,
cdm_input_0.csv,188.46153846153845,1.5609415454503479e-15,,
cdm_input_0.csv,189.29765886287623,1.6195966216395972e-15,,
cdm_input_0.csv,190.13377926421407,1.682383648347189e-15,,
cdm_input_0.csv,190.96989966555185,1.7495266276149057e-15,,
cdm_input_0.csv,191.80602006688963,1.821211931354484e-15,,
cdm_input_0.csv,192.64214046822744,1.897600440575729e-15,,
cdm_input_0.csv,193.47826086956522,1.978846344091832e-15,,
cdm_input_0.csv,194.314381270903,2.065121366699174e-15,,
cdm_input_0.csv,195.1505016722408,2.1566428737662213e-15,,
cdm_input_0.csv,195.9866220735786,2.2537042388197106e-15,,
cdm_input_0.csv,196.82274247491637,2.356705957945982e-15,,
cdm_input_0.csv,197.65886287625418,2.4661860965191697e-15,,
cdm_input_0.csv,198.49498327759196,2.582848616195264e-15,,
cdm_input_0.csv,199.33110367892974,2.7075878752987975e-15,,
cdm_input_0.csv,200.16722408026754,2.841507156505732e-15,,
cdm_input_0.csv,201.00334448160535,2.9859286208164815e-15,,
cdm_input_0.csv,201.83946488294313,3.142391913390533e-15,,
cdm_input_0.csv,202.67558528428094,3.3126391211080982e-15,,
cdm_input_0.csv,203.51170568561872,3.49858521184532e-15,,
cdm_input_0.csv,204.34782608695653,3.7022755372289185e-15,,
cdm_input_0.csv,205.1839464882943,3.925835100817498e-15,,
cdm_input_0.csv,206.02006688963212,4.171417254704016e-15,,
cdm_input_0.csv,206.8561872909699,4.441161155443643e-15,,
cdm_input_0.csv,207.69230769230768,4.7371666121609955e-15,,
cdm_input_0.csv,208.5284280936455,5.061491235510993e-15,,
cdm_input_0.csv,209.36454849498327,5.416167814601815e-15,,
cdm_input_0.csv,210.20066889632105,5.803229332878985e-15,,
cdm_input_0.csv,211.03678929765888,6.224714022544751e-15,,
cdm_input_0.csv,211.87290969899666,6.682601901148873e-15,,
cdm_input_0.csv,212.70903010033445,7.178607884700586e-15,,
cdm_input_0.csv,213.54515050167225,7.713732845654282e-15,,
cdm_input_0.csv,214.38127090301003,8.287473700352844e-15,,
cdm_input_0.csv,215.2173913043478,8.896646180342186e-15,,
cdm_input_0.csv,216.05351170568562,9.533894573197514e-15,,
cdm_input_0.csv,216.8896321070234,1.0186123586875664e-14,,
cdm_input_0.csv,217.72575250836118,1.0833224773722612e-14,,
cdm_input_0.csv,218.561872909699,1.1447543511129062e-14,,
cdm_input_0.csv,219.39799331103677,1.1994561095918904e-14,,
cdm_input_0.csv,220.23411371237455,1.2435247612387016e-14,,
cdm_input_0.csv,221.07023411371236,1.2730345485173674e-14,,
