parameter,mean,std_dev
f0,3.06310359e+14,1.12921796e+13
hw,1.96101277e+13,3.68433626e+11
ee_A,1.16804327e+08,8.82799124e+06
ee_B,9.35727292e-22,8.89260428e-22
ee_C,5.92813522e-37,3.06742571e-36
em_A,6.39368626e-08,5.75821343e-09
em_B,0,0
em_C,0,0
me_A,6.36814310e-08,5.53161387e-09
me_B,0,0
me_C,0,0
mm_A,3.12595244e-23,5.94108158e-24
mm_B,-8.43299637e-23,1.03479779e-23
mm_C,2.20186590e-37,3.76094208e-38
