parameter,mean,std_dev
f0,3.17854806e+14,1.55312975e+13
hw,2.02084142e+13,8.04297593e+11
ee_A,1.30778921e+08,9.71798334e+06
ee_B,2.04167713e-21,1.30067643e-21
ee_C,-2.73773820e-36,5.76097888e-36
em_A,6.95350233e-08,9.77263634e-09
em_B,0,0
em_C,0,0
me_A,6.97004093e-08,8.83926315e-09
me_B,0,0
me_C,0,0
mm_A,3.43724784e-23,9.05037524e-24
mm_B,-9.18077358e-23,1.61378656e-23
mm_C,2.02912307e-37,5.53648446e-38
