parameter,mean,std_dev
f0,2.20860164e+14,9.02624462e+12
hw,1.53066642e+13,4.54483765e+11
ee_A,3.76732674e+07,5.42088793e+06
ee_B,4.80265477e-22,5.82753296e-23
ee_C,2.51409547e-36,4.96735449e-37
em_A,5.10001194e-08,4.15806601e-09
em_B,0,0
em_C,0,0
me_A,5.08101125e-08,4.14140829e-09
me_B,0,0
me_C,0,0
mm_A,6.92962986e-23,6.19445145e-24
mm_B,-3.77991037e-23,5.11718385e-24
mm_C,9.49893567e-38,2.81253571e-38
