parameter,mean,std_dev
f0,2.201169e+14,1.801760e+13
hw,1.408709e+13,5.461672e+11
ee_A,3.927518e+07,9.850914e+06
ee_B,6.419893e-22,1.714533e-22
ee_C,2.993014e-36,1.063916e-36
em_A,5.547085e-08,8.114763e-09
em_B,0.000000e+00,0.000000e+00
em_C,0.000000e+00,0.000000e+00
me_A,5.547085e-08,8.114763e-09
me_B,0.000000e+00,0.000000e+00
me_C,0.000000e+00,0.000000e+00
mm_A,8.117555e-23,1.512790e-23
mm_B,-5.835490e-23,2.735459e-23
mm_C,1.397076e-37,7.957525e-38
