parameter,mean,std_dev
f0,2.228054e+14,0.000000e+00
hw,1.498900e+13,0.000000e+00
ee_A,3.444069e+07,0.000000e+00
ee_B,4.099202e-22,0.000000e+00
ee_C,8.283727e-37,0.000000e+00
em_A,3.058663e-08,0.000000e+00
em_B,0.00000000e+00,0.00000000e+00
em_C,0.00000000e+00,0.00000000e+00
me_A,3.926844e-08,0.000000e+00
me_B,0.00000000e+00,0.00000000e+00
me_C,0.00000000e+00,0.00000000e+00
mm_A,3.546481e-23,0.000000e+00
mm_B,-7.142350e-24,0.000000e+00
mm_C,2.598232e-38,0.000000e+00
