parameter,mean,std_dev
f0,2.209889e+14,9.035774e+12
hw,1.432098e+13,2.703471e+11
ee_A,3.778001e+07,5.567344e+06
ee_B,5.053657e-22,5.856453e-23
ee_C,2.440183e-36,4.935832e-37
em_A,5.094010e-08,4.129609e-09
em_B,0.000000e+00,0.000000e+00
em_C,0.000000e+00,0.000000e+00
me_A,5.094010e-08,4.129609e-09
me_B,0.000000e+00,0.000000e+00
me_C,0.000000e+00,0.000000e+00
mm_A,6.923929e-23,6.167645e-24
mm_B,-3.935502e-23,4.871423e-24
mm_C,9.864810e-38,2.687708e-38
