parameter,mean,std_dev
f0,2.20073543e+14,1.79970919e+13
hw,1.51481379e+13,8.57803860e+11
ee_A,3.93142030e+07,9.84847664e+06
ee_B,6.12382192e-22,1.75900521e-22
ee_C,3.06661858e-36,1.09378216e-36
em_A,5.56244198e-08,8.30458902e-09
em_B,0,0
em_C,0,0
me_A,5.53417229e-08,8.13854992e-09
me_B,0,0
me_C,0,0
mm_A,8.12198436e-23,1.51264736e-23
mm_B,-5.66616077e-23,2.73046208e-23
mm_C,1.36217771e-37,7.77069361e-38
