parameter,mean,std_dev
f0,3.183789e+14,1.606344e+13
hw,1.389850e+13,1.095122e+12
ee_A,1.548779e+08,2.365576e+07
ee_B,8.655504e-23,6.137623e-22
ee_C,4.035221e-36,2.341476e-36
em_A,7.367832e-08,8.211067e-09
em_B,0.000000e+00,0.000000e+00
em_C,0.000000e+00,0.000000e+00
me_A,7.367832e-08,8.211067e-09
me_B,0.000000e+00,0.000000e+00
me_C,0.000000e+00,0.000000e+00
mm_A,3.609166e-23,8.356310e-24
mm_B,-1.104079e-22,1.595191e-23
mm_C,2.679229e-37,5.771268e-38
