parameter,mean,std_dev
f0,2.227897e+14,0.000000e+00
hw,1.587450e+13,0.000000e+00
ee_A,3.445983e+07,0.000000e+00
ee_B,4.008269e-22,0.000000e+00
ee_C,8.518738e-37,0.000000e+00
em_A,3.064202e-08,0.000000e+00
em_B,3.068963e-23,0.000000e+00
em_C,-1.172427e-37,0.000000e+00
me_A,3.927704e-08,0.000000e+00
me_B,0.00000000e+00,0.00000000e+00
me_C,0.00000000e+00,0.00000000e+00
mm_A,3.548595e-23,0.000000e+00
mm_B,-6.970965e-24,0.000000e+00
mm_C,2.606854e-38,0.000000e+00
