Frequency_Hz,Absorption_W
150000000000000.0,3.366523080205266e-16
151004016064257.03,3.442057078129838e-16
152008032128514.06,3.519249351203792e-16
153012048192771.1,3.5981416701917346e-16
154016064257028.12,3.678777033903785e-16
155020080321285.12,3.7611997050977976e-16
156024096385542.16,3.8454552475120527e-16
157028112449799.2,3.9315905650887776e-16
158032128514056.22,4.019653944480387e-16
159036144578313.25,4.109695101473216e-16
160040160642570.28,4.201765231139416e-16
161044176706827.3,4.295917060782963e-16
162048192771084.34,4.3922049044537684e-16
163052208835341.38,4.490684718043608e-16
164056224899598.4,4.59141415455932e-16
165060240963855.44,4.694452619726845e-16
166064257028112.47,4.799861328442274e-16
167068273092369.5,4.907703362642748e-16
168072289156626.53,5.018043730982311e-16
169076305220883.56,5.130949430337406e-16
170080321285140.6,5.246489508675848e-16
171084337349397.62,5.36473512831051e-16
172088353413654.66,5.485759628206685e-16
173092369477911.7,5.609638584272396e-16
174096385542168.7,5.73644986785528e-16
175100401606425.72,5.866273705111348e-16
176104417670682.75,5.99919274220859e-16
177108433734939.78,6.135292121429936e-16
178112449799196.8,6.274659569825314e-16
179116465863453.84,6.417385496919101e-16
180120481927710.88,6.563563094800749e-16
181124497991967.9,6.71328843475965e-16
182128514056224.9,6.8666605582283635e-16
183132530120481.94,7.023781563349972e-16
184136546184738.97,7.184756690206612e-16
185140562248996.0,7.349694407499202e-16
186144578313253.03,7.518706502065953e-16
187148594377510.06,7.691908170622132e-16
188152610441767.1,7.869418110850177e-16
189156626506024.12,8.051358606698842e-16
190160642570281.12,8.23785560195069e-16
191164658634538.16,8.429038759782358e-16
192168674698795.2,8.625041516718996e-16
193172690763052.22,8.826001152311539e-16
194176706827309.25,9.032058896520848e-16
195180722891566.28,9.243360075520777e-16
196184738955823.3,9.460054269126988e-16
197188755020080.34,9.682295446580975e-16
198192771084337.38,9.91024206578173e-16
199196787148594.4,1.0144057143084698e-15
200200803212851.44,1.0383908309664575e-15
201204819277108.47,1.0629967866015069e-15
202208835341365.5,1.0882412836236973e-15
203212851405622.53,1.114142501364595e-15
204216867469879.56,1.1407190981162833e-15
205220883534136.56,1.1679902089574781e-15
206224899598393.62,1.195975439657543e-15
207228915662650.62,1.2246948612791753e-15
208232931726907.66,1.2541690127312625e-15
209236947791164.7,1.2844189131677052e-15
210240963855421.72,1.3154660758005674e-15
211244979919678.75,1.347332512051871e-15
212248995983935.78,1.3800407228299092e-15
213253012048192.8,1.4136136813429712e-15
214257028112449.8,1.448074812377811e-15
215261044176706.84,1.483447969014798e-15
216265060240963.88,1.5197574040206544e-15
217269076305220.9,1.5570277326899958e-15
218273092369477.94,1.5952838895067705e-15
219277108433734.97,1.6345510908473416e-15
220281124497991.97,1.6748548154711832e-15
221285140562249.0,1.7162207935492958e-15
222289156626506.03,1.7586749779996068e-15
223293172690763.06,1.8022434844248593e-15
224297188755020.1,1.846952507085793e-15
225301204819277.12,1.8928282217229404e-15
226305220883534.16,1.9398966787538254e-15
227309236947791.2,1.988183690076889e-15
228313253012048.22,2.0377147225785213e-15
229317269076305.25,2.0885148117158573e-15
230321285140562.25,2.140608480416462e-15
231325301204819.28,2.194019623922798e-15
232329317269076.3,2.2487713402643053e-15
233333333333333.34,2.3048857203677353e-15
234337349397590.38,2.362383624837542e-15
235341365461847.4,2.4212844730982565e-15
236345381526104.44,2.4816060564789494e-15
237349397590361.47,2.543364350072724e-15
238353413654618.5,2.606573274236258e-15
239357429718875.53,2.6712443893774e-15
240361445783132.56,2.7373865607011348e-15
241365461847389.56,2.8050056388430812e-15
242369477911646.6,2.8741041580189197e-15
243373493975903.62,2.9446810061046374e-15
244377510040160.66,3.016731036907536e-15
245381526104417.7,3.0902446532374984e-15
246385542168674.7,3.1652073978801648e-15
247389558232931.72,3.2415995407632795e-15
248393574297188.75,3.3193956352468826e-15
249397590361445.78,3.3985640539516616e-15
250401606425702.8,3.4790665245900568e-15
251405622489959.84,3.560857661874716e-15
252409638554216.88,3.643884493231859e-15
253413654618473.9,3.728085988823104e-15
254417670682730.9,3.813392601822479e-15
255421686746987.94,3.899725823855983e-15
256425702811244.97,3.986997763794667e-15
257429718875502.0,4.0751107580776185e-15
258433734939759.03,4.1639570214841815e-15
259437751004016.06,4.25341834814235e-15
260441767068273.1,4.343365873153111e-15
261445783132530.12,4.433659905764929e-15
262449799196787.16,4.5241498454123865e-15
263453815261044.2,4.614674192118221e-15
264457831325301.22,4.705060662674464e-15
265461847389558.25,4.7951264235884795e-15
266465863453815.28,4.884678450941735e-15
267469879518072.3,4.973514026080684e-15
268473895582329.34,5.061421374622397e-15
269477911646586.38,5.148180454802474e-15
270481927710843.38,5.233563899622727e-15
271485943775100.4,5.317338115080186e-15
272489959839357.44,5.399264533654847e-15
273493975903614.47,5.479101018447788e-15
274497991967871.5,5.5566034094384365e-15
275502008032128.53,5.631527199586481e-15
276506024096385.56,5.703629324971964e-15
277510040160642.6,5.772670049823952e-15
278514056224899.6,5.838414924096917e-15
279518072289156.62,5.900636788142638e-15
280522088353413.66,5.959117795867909e-15
281526104417670.7,6.01365142461328e-15
282530120481927.7,6.064044437306906e-15
283534136546184.75,6.110118760998832e-15
284538152610441.75,6.151713246179888e-15
285542168674698.8,6.188685273077373e-15
286546184738955.8,6.220912173711133e-15
287550200803212.9,6.248292441676859e-15
288554216867469.9,6.270746706526782e-15
289558232931726.94,6.288218458122539e-15
290562248995983.94,6.3006745176021254e-15
291566265060241.0,6.30810525758811e-15
292570281124498.0,6.3105245649834566e-15
293574297188755.06,6.307969523026159e-15
294578313253012.06,6.300499791404321e-15
295582329317269.06,6.288196690307433e-15
296586345381526.1,6.271162019709394e-15
297590361445783.1,6.249516650608354e-15
298594377510040.2,6.223398917612752e-15
299598393574297.2,6.192962836170538e-15
300000000000000.0,6.179616430453065e-15
300602409638554.25,6.158376179987703e-15
301000000000000.0,6.1435719008476376e-15
301606425702811.25,6.119818499756916e-15
302610441767068.3,6.077479225565662e-15
303614457831325.3,6.0315560164772395e-15
304618473895582.4,5.98225345114639e-15
305622489959839.4,5.929781995603761e-15
306626506024096.44,5.874357015631453e-15
307630522088353.44,5.81619754334387e-15
308634538152610.5,5.755524633453629e-15
309638554216867.5,5.692559386115093e-15
310642570281124.5,5.627520897809834e-15
311646586345381.5,5.560624414280784e-15
312650602409638.56,5.4920798387980094e-15
313654618473895.56,5.422090611694067e-15
314658634538152.6,5.350852897012592e-15
315662650602409.6,5.278554993487979e-15
316666666666666.7,5.205376903010685e-15
317670682730923.7,5.131490014095683e-15
318674698795180.75,5.0570568771391635e-15
319678714859437.75,4.98223105971727e-15
320682730923694.8,4.907157075461153e-15
321686746987951.8,4.831970381666083e-15
322690763052208.8,4.756797440702839e-15
323694779116465.9,4.681755839659494e-15
324698795180722.9,4.606954462003831e-15
325702811244979.94,4.532493704646061e-15
326706827309236.94,4.458465733647676e-15
327710843373494.0,4.3849547719089845e-15
328714859437751.0,4.312037412461106e-15
329718875502008.06,4.239782951384591e-15
330722891566265.06,4.1682537348744685e-15
331726907630522.1,4.09750551550114e-15
332730923694779.1,4.027587813271009e-15
333734939759036.1,3.958544277628934e-15
334738955823293.2,3.890413047082583e-15
335742971887550.2,3.823227103617219e-15
336746987951807.25,3.757014619534311e-15
337751004016064.25,3.6917992947664284e-15
338755020080321.3,3.6276006830814815e-15
339759036144578.3,3.564434505914034e-15
340763052208835.4,3.5023129528363105e-15
341767068273092.4,3.4412449679486017e-15
342771084337349.4,3.3812365217618218e-15
343775100401606.4,3.3222908684696438e-15
344779116465863.44,3.2644087887866676e-15
345783132530120.44,3.2075888186619005e-15
346787148594377.5,3.151827464162328e-15
347791164658634.5,3.0971194027615707e-15
348795180722891.56,3.043457671288333e-15
349799196787148.56,2.9908338408794606e-15
350803212851405.56,2.9392381793973978e-15
351807228915662.6,2.8886598018562906e-15
352811244979919.6,2.839086809442564e-15
353815261044176.7,2.790506417737309e-15
354819277108433.7,2.742905074741485e-15
355823293172690.7,2.6962685693014173e-15
356827309236947.75,2.650582130516108e-15
357831325301204.75,2.6058305186887486e-15
358835341365461.8,2.561998108371214e-15
359839357429718.8,2.5190689640268122e-15
360843373493975.9,2.477026908819382e-15
361847389558232.9,2.4358555870037924e-15
362851405622489.9,2.395538520382359e-15
363855421686746.94,2.356059159261357e-15
364859437751003.94,2.3174009283174796e-15
365863453815261.0,2.2795472677654358e-15
366867469879518.0,2.24248167018978e-15
367871485943775.0,2.206187713385072e-15
368875502008032.06,2.170649089527282e-15
369879518072289.06,2.135849630977238e-15
370883534136546.1,2.1017733329957967e-15
371887550200803.1,2.0684043736356913e-15
372891566265060.2,2.035727131052802e-15
373895582329317.2,2.0037261984630503e-15
374899598393574.2,1.972386396957099e-15
375903614457831.25,1.941692786367334e-15
376907630522088.25,1.9116306743663445e-15
377911646586345.3,1.8821856239644847e-15
378915662650602.3,1.8533434595600136e-15
379919678714859.4,1.82509027168152e-15
380923694779116.4,1.7974124205537383e-15
381927710843373.44,1.7702965386045108e-15
382931726907630.44,1.743729532021765e-15
383935742971887.5,1.7176985814601625e-15
384939759036144.5,1.6921911419867152e-15
385943775100401.56,1.6671949423499222e-15
386947791164658.56,1.6426979836454055e-15
387951807228915.6,1.6186885374479263e-15
388955823293172.6,1.5951551434718695e-15
389959839357429.7,1.5720866068162273e-15
390963855421686.7,1.54947199484782e-15
391967871485943.75,1.5273006337681687e-15
392971887550200.75,1.5055621049087288e-15
393975903614457.8,1.484246240793664e-15
394979919678714.8,1.4633431210062633e-15
395983935742971.9,1.4428430678921373e-15
396987951807228.9,1.4227366421291324e-15
397991967871485.94,1.4030146381910706e-15
398995983935743.0,1.3836680797301782e-15
400000000000000.0,1.364688214900472e-15
